ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
ILEVET,¦¨¤H,Clcr,0,0,mL/min,mL/min,End-stage renal disease (ESRD) requiring hemodialysis: 500 to 1000 mg IVD QD (ªvÀø­º¤é«ØÄ³¾¯¶q¬°750 mg¡A¬~µÇ«á«ØÄ³¸É¥R¾¯¶q¬°250¦Ü500 mg),,201903241015,201903241022
ILEVET,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,250 to 750 mg IVD every 12 hours,,201903240936,201903241015
ILEVET,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,500 to 1000 mg IVD every 12 hours,,201903240936,201903241015
ILFT,¦¨¤H,Clcr,0,4.99,mL/min,mL/min,Loading dose 1-2g¡A followed by 0.5-1g Q24-48H,UpToDate 2023-01-12,202301121140,202301121139
ILFT,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,2 gm q24-48h,Sanford Guide 2023-01-15,202301150907,202301121148
ILFT,¦¨¤H,Clcr,0,0,mL/min,mL/min,Loading dose 1-2 g after each hemodialysis; maintenance dose as noted above based on ClCr,Hemodialysis. UpToDate 2023-01-12,202301121148,202301121148
ILFT,¦¨¤H,Clcr,0,0.01,mL/min,mL/min,2 gm q24h-48h; extra 1 gm after hemodialysis,Hemodialysis. Sanford Guide 2023-01-15,202301150911,202301121148
ILFT,¦¨¤H,Clcr,5.00,9.00,mL/min,mL/min,Loading dose 1-2g¡A followed by 0.5-1g Q12-24H,UpToDate 2023-01-12,202301121140,202301121139
ILFT,¦¨¤H,Clcr,10.00,29.00,mL/min,mL/min,Loading dose 1-2g¡A followed by 1-2g Q12-24H,UpToDate 2023-01-12,202301121139,202301121139
ILFT,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,2 gm q8-12h,Sanford Guide 2023-01-15,202301150907,202301150909
ILFT,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,Loading dose 1-2g¡A followed by 1-2g Q8-12H,UpToDate 2023-01-12,202301121138,202301121138
ILIG2,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Administer maintenance infusion at lower rate with close monitoring,Micromedex 20210217,202102171142,202102171143
ILIP20,¦¨¤H,Clcr,0,0,mL/min,mL/min,¥¼±µ¨ü³zªRªvÀø¤§ÄY­«µÇ¥\¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,,201804261436,201804261436
IMAG2,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦³µÇ¥\¯à»ÙÃª¤§±wªÌ¡A°ªÁâ¦å¯g±wªÌ¥²¶·¼f·V§ë»P,,201804261459,201804261459
IMAN1,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f©Î¶i¦æ©ÊµÇ·l®`©ÎµÇ¥\¯à»ÙÃª¤§§¹¥þµL§¿¯f±w¤£«ØÄ³¨Ï¥Î,,201804121420,
IMAR4,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ¯f±wÀ³¤p¤ß¨Ï¥Î¡A¥H´î§Cµo¥Í¦MÀI°Æ§@¥Îªº­·ÀI,,201804191601,201804191601
IMARS,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ±wªÌÀ³¤p¤ß¨Ï¥Î¡A¥H´î§Cµo¥Í¦MÀI°Æ§@¥Îªº­·ÀI,,201804191602,201804191602
IMAXI,¦¨¤H,Clcr,0,0,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.5g Q24h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:0.5g Q24h;ÄY­«·P¬V:0.5g Q24h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:0.5g Q24h,¦å²G³zªR±wªÌ,201803261647,
IMAXI,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.25g Q24h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:0.25g Q24h;ÄY­«·P¬V:0.5g Q24h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:1g Q24h,,201803261647,
IMAXI,¦¨¤H,Clcr,11.00,29.00,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.5g Q24h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:0.5g Q24h;ÄY­«·P¬V:1g Q24h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:2g Q24h,,201803261647,
IMAXI,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.5g Q24h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:1g Q24h;ÄY­«·P¬V:2g Q24h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:2g Q12h,,201803261646,
IMAXI,¦¨¤H,Clcr,50.00,199.00,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.5g Q12h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:1g Q12h;ÄY­«·P¬V:2g Q12h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:2g Q8h,,201803261646,
IMEP2,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¾¯¶q´î¥b¡A¨C24¤p®É§ë¤©¤@¦¸,1gm/day,,
IMEP2,¦¨¤H,Clcr,10.00,25.00,mL/min,mL/min,¾¯¶q´î¥b¡A¨C12¤p®É§ë¤©¤@¦¸,1gm/day,,
IMEP2,¦¨¤H,Clcr,26.00,50.00,mL/min,mL/min,¤@¯ë¾¯¶q¡A¨C12¤p®É§ë¤©¤@¦¸,2gm/day,,
IMORP,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,Reduce dose by 50% or consider alternative opioid analgesics,,201804141507,201804141508
IMORP,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,Reduce dose by 25%,,201804141507,
IMTX2,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ¸T¥Î,,201804301634,
IMUT,¦¨¤H,Clcr,50.00,0,mL/min,mL/min,¥»ÃÄ¸g¥ÑµÇÅ¦±Æªn¡AµÇ¥\¯à»ÙÃª±wªÌ½Ð¤p¤ß¨Ã´î¶q¨Ï¥Î,¥é³æ,202104061013,
IMV13,¦¨¤H,eGFR,0,59.99,mL/min/1.73m2,mL/min/1.73m2,µÇ¥\¯à»ÙÃªªÌÂÔ·V¨Ï¥Î¡C,,201804231722,
INEP,¦¨¤H,Clcr,0,0,mL/min,mL/min,­Y¤Þ°_µÇ¥\¯à§C¤U¡A«h¶·¥ý¸É¥R¨¬¶q¤ô¤À¤Î¹q¸Ñ½è,,201804261430,
INOB,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,250 to 500 mg IV every 12 hours,,201804141516,201804141516
INOB,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,250 to 750 mg IV every 12 hours,,201804141514,201804141515
INOB,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,500 to 1000 mg IV every 12 hours,,201804141514,
IOLA5,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¸T§Ò,,201804301602,
IOLI3,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªº±wªÌÀ³ÂÔ·V¨Ï¥Î,,201804261523,201804261523
IOPT,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer¡¦s labeling. Use caution in severe impairment¡A anuria¡A and in setting of combined renal and hepatic disease.,,201804181143,
IORE,¦¨¤H,Clcr,0,29.90,mL/min,mL/min,ÃÄ«~¥é³æ¡G¸T§Ò¨Ï¥Î¦bClCr<30 mL/minªº±wªÌ¡C UPTODATE¡GReduce dose from 85 mg/m2 to 65 mg/m2.,,201803221503,201811081514
IPAM2,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ¾¯¶qÀ³¸Ó´î§C,,201804191507,201804191507
IPAR,¦¨¤H,Clcr,15.00,150.00,mL/min,mL/min,Á`¾¯¶q(mg) = ( ¥Ø¼ÐAUC) x (GFR+25),,201804301604,
IPAR,¦¨¤H,Clcr,16.00,40.00,mL/min,mL/min,200 mg/m2,202106¥é³æ,202106171700,
IPAR,¦¨¤H,Clcr,41.00,59.00,mL/min,mL/min,250 mg/m2,202106¥é³æ,202106171701,202106171701
IPCN3,¦¨¤H,eGFR,0.01,9.99,mL/min,mL/min,Administer 20% to 50% of the normal dose,(Aronoff 2007),202004021527,202004021523
IPCN3,¦¨¤H,eGFR,10.00,50.00,mL/min,mL/min,Administer 75% of the normal dose,(Aronoff 2007),202004021528,202004021523
IPCN3,¦¨¤H,Clcr,0.01,9.99,mL/min/1.73 m^2,mL/min/1.73 m^2,administer full loading dose¡A followed by 50% loading dose every 8 to 10 hours,Manufacturer's labeling,201803051606,202004021523
IPCN3,¦¨¤H,Clcr,10.00,130.00,mL/min/1.73 m^2,mL/min/1.73 m^2,administer a full loading dose¡A followed by 50% loading dose every 4 to 5 hours,Manufacturer's labeling,201803051608,202004021523
IPEGA,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,Reduce to 135 mcg/wk; if severe adverse reactions develop¡A reduce to 90 mcg/wk; if intolerance persists¡A discontinue therapy.,¦å²G³zªR¯f¤H:Reduce to 135 mcg/wk; if severe adverse reactions develop¡A reduce to 90 mcg/wk; if intolerance persists¡A discontinue therapy.,,
IPERD,¦¨¤H,Clcr,0,0,mL/min,mL/min,Titrate infusion gradually,,201804121507,201804121507
IPET,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,Reduce initial dose ¡Agive 50% of the normal dose at the usual intervals,,201804141520,
IPET,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,Give 75% of the normal dose at the usual intervals,,201804141519,
IPEY,¨àµ£,eGFR,0,999.99,mL/min/1.73m2,mL/min/1.73m2,use with caution. (has not been studied),,201812091137,201812091137
IPHE,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Reduce dose. Severe: Contraindicated.,,201809041537,
IPRI,¦¨¤H,Clcr,0,40.00,mL/min,mL/min,Initiate at 50% of usual dosage  ³Ì¤j¾¯¶q¬°³æ¤@¾¯¶q¨C¤½¤çÅé­«0.2²@§J(0.2mg/kg/dose)¡C,¨C¤éÁ`¾¯¶q¤£¥i¶W¹L¨C¤½¤çÅé­«0.5²@§J¡C,201804141427,201804141427
IPRIM,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,ÄY­«µÇ¥\¯à¨ü·lªº¯f±w¡A¦]Åã¼v¾¯ªº±Æ°£¸ûºC¡AÀ³Åv¿Å§Q¹ú±o¥¢«á¦A¨Ï¥Î¥»«~,·í¦A¦¸¨Ï¥Î©óµÇ¥\¯à¨ü·l¯f±w«e»Ý½T»{¦³¨¬°÷ªº®É¶¡±Æ°£Åé¤ºªºÅã¼v¾¯,201804212357,201804212359
IPUL,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,CrCl < or =10 mL/minute and Hemodialysis¡A intermittent (thrice weekly):33% (or less) of usual total daily dose.,UpToDate 20221219,202212191609,202212200902
IPUL,¦¨¤H,Clcr,10.00,60.00,mL/min,mL/min,50% of usual total daily dose.,UpToDate 20221219,202212191608,202212191609
IRAPI,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,ESRD requiring intermittent hemodialysis (IHD): 50 mg as a single dose¡A administered after dialysis,,201812110943,201812110946
IRAPI,¦¨¤H,Clcr,10.00,29.99,mL/min,mL/min,50 mg as a single dose,,201812110943,201812110945
IRAPI,¦¨¤H,Clcr,30.00,49.99,mL/min,mL/min,100 mg as a single dose,,201812110942,201812110945
IRIN4,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¾÷¯à¤£¥þªÌÀ³ÂÔ·V§ë»P,,201804231404,201804231404
IRIS,¦¨¤H,Clcr,0,0,mL/min,mL/min,«ØÄ³°_©l¾¯¶q¬O²Ä¤@¶g¨C¤éªA¥Îrisperidone 0.5 mg ¨â¦¸¡A²Ä¤G¶g«h¼W¥[¬°¨C¤é¤fªA1 mg ¨â¦¸©Î¨C¤éªA¥Î2 mg ¤@¦¸¡C­Y¯f¤H¹ï¨C¤éªA¥Î¦Ü¤Ö2 mg ªº­@¨ü«×¨Î¡A§Y¥i¨C¨â¶gª`®gRISPERDAL CONSTAR 25 mg,,201804142343,
IROP,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ³q±`¤£»Ý­n½Õ¾ã¾¯¶q,¦ýºC©ÊµÇ°IºÜ¯f¤H±`¦ñ¦³»Ä¤¤¬r©Î¦å¼ß³J¥Õ´î¤Ö¡A¨äµo¥Í¥þ¨­©Ê¬r©Ê§@¥Î¤§¦MÀI©Ê¸û°ª,201804191557,201804191557
ISEF,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ÀR¯ßª`®g¨C¤é³Ì¤j¾¯¶q¬°¤@¤Ñ400²@§J,¥é³æ,202201061542,
ISEF,¦¨¤H,Clcr,5.00,29.00,mL/min,mL/min,200 to 400 mg IV every 18 to 24 hours; alternatively¡A may give 400 mg every 24 hours for CrCl less than 30 mL/min/1.73 m(2).,Micromedexs 20220106,202201061554,202201061556
ISEF,¦¨¤H,Clcr,31.00,60.00,mL/min,mL/min,ÀR¯ßª`®g¨C¤é³Ì¤j¾¯¶q¬°¤@¤Ñ800²@§J,¥é³æ,202201061542,
ISEV,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,,
ISEV,¦¨¤H,Clcr,15.00,25.00,mL/min,mL/min,¥H¼Ð·Ç¾¯¶q¬°³Ì¤j¾¯¶q¡Aµ¹ÃÄ¤T¤Ñ«á¾¯¶q´î¥b,,,
ISIMD,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Contraindication. Avoid use.,,201809101151,
ISIMD,¦¨¤H,Clcr,30.10,50.00,mL/min,mL/min,Simdax must be used with caution in patients with mild to moderate renal impairment.,,201809101152,201809101152
ISOBI,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃªªº±wªÌÀ³ÂÔ·V§ë»P,,201804261507,201804261507
ISOLM,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ±wªÌÀ³ÂÔ·V¨Ï¥Î,,201804231408,201804231408
ISOO,¦¨¤H,Clcr,0,0.01,mL/min,mL/min,Patients on hemodialysis should receive a maintenance dose of 250 or 500 mg amoxicillin/125 mg clavulanic acid every 24 hours¡A with a supplemental dose given both during and at the end of dialysis,Micromedex 20210318,202103181208,202103181206
ISOO,¦¨¤H,Clcr,0.10,9.99,mL/min,mL/min,¥ýÀR¯ßª`®g1¾¯1.2gm¡AµM«á¦A¨C24¤p®É0.6gm. ¬~µÇ«á¥i¯à¥²¶·ÃB¥~¼W¥[1¾¯0.6gm.,¥é³æ,202103181144,202103181210
ISOO,¦¨¤H,Clcr,0.10,10.00,mL/min,mL/min,The suggested dose is 250 or 500 mg amoxicillin/125 mg clavulanic acid every 24 hours.,Micromedex 20210318,201803051616,202103181210
ISOO,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,The suggested dose is 250 mg to 500 mg amoxicillin/125 mg clavulanic acid every 12 hours.,Micromedex 20210318,201803051616,202103181205
ISOO,¦¨¤H,Clcr,10.00,29.99,mL/min,mL/min,¥ýÀR¯ßª`®g1¾¯1.2gm¡AµM«á¦A¨C12¤p®É0.6gm.,¥é³æ,202103181142,202103181146
ISOO,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,µL¶·§ïÅÜ¾¯¶q,¥é³æ,202103181140,
ISTO,¦¨¤H,Clcr,0,0.01,mL/min,mL/min,´`Àô¤¤Cimetidine¿@«×·|¦]¦å²G³zªR¦Ó­°§C¡A¦]¦¹¥»«~¶·©ó³zªR³Ì«á¶¥¬qµ¹ÃÄ¡C,¥é³æ,202012031652,202012031655
ISTO,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,¨C¤é¤G¦¸¡A¨C¦¸§ë»P 200 ²@§J,¥é³æ,202012031653,
ISTO,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,¨C¤é¤T¦¸¡A¨C¦¸ 200 ²@§J,¥é³æ,202012031654,
ISTO,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,¨C¤é¥|¦¸¡A¨C¦¸ 200 ²@§J,¥é³æ,202012031655,
ISUB,¦¨¤H,Clcr,5.00,14.00,mL/min,mL/min,1.5-3g every 24 hours,,201803261539,
ISUB,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,1.5-3g every 12 hours,,201803261538,
ISUB,¦¨¤H,Clcr,30.00,199.00,mL/min,mL/min,1.5-3g every 6 to 8 hours,,201803261538,201803261603
ITAP,¦¨¤H,Clcr,0,0,mL/min,mL/min,2.25g every 12 hours plus 0.75 g after each dialysis session ;°|¤º·P¬V©ÊªÍª¢2.25g every 8 hours plus 0.75 g after each dialysis session,¦å²G³zªR±wªÌ,201803261550,
ITAP,¦¨¤H,Clcr,0,20.00,mL/min,mL/min,2.25g every 8 hours;°|¤º·P¬V©ÊªÍª¢2.25g every 6 hours,,201803261549,
ITAP,¦¨¤H,Clcr,20.00,40.00,mL/min,mL/min,2.25g every 6 hours; °|¤º·P¬V©ÊªÍª¢3.375g every 6 hours,,201803261544,
ITAR,¦¨¤H,Clcr,0,40.00,mL/min,mL/min,(§t¦å²G³zªR¯f¤H)ªvÀø²Ä¥|¤Ñ°_¨C¤éµ¹¤©¤T¤À¤§¤@ªººû«ù¾¯¶q¡A©Î¨C¤T¤éµ¹¤©°_©l¾¯¶q¡A©Î¨C¤éµ¹¤©¤T¤À¤§¤@ªº°_©l¾¯¶q,4mg/kg/day,,
ITAR,¦¨¤H,Clcr,40.00,60.00,mL/min,mL/min,ªvÀø²Ä¥|¤Ñ°_¥i¨C¤éµ¹¤©´î¥bªººû«ù¾¯¶q¡A©Î¨C¨â¤éµ¹¤©°_©l¾¯¶q¡A©Î¨C¤éµ¹¤©´î¥bªº°_©l¾¯¶q,6mg/kg/day,,
ITHYR,¦¨¤H,Clcr,0,0,mL/min,mL/min,­Ê¿à³zªRªº¥½´ÁµÇÅ¦¯f¯f¤H±Æªn Thyrogenªº³t«×«D±`ºC¡A¦]¦¹·|©µªø´£°ª TSH ¿@«×ªº§@¥Î¡A¶·ÂÔ·VÆ[¹î¡C,,201804112350,201804112350
ITIE5,¦¨¤H,Clcr,0,5.00,mL/min,mL/min,­Y¦P®É±µ¨ü¦å²G³zªRªÌ¡A¥i¥ÎClCr=6~20min/mLªº«ØÄ³¾¯¶q¡Aµ¹ÃÄ®É¶¡¤À§O¬°³zªR«á»P12¤p®É«á,500mg Q12H,,
ITIE5,¦¨¤H,Clcr,6.00,20.00,mL/min,mL/min,250mg Q12H(­ì1gm/day¡A 1.5gm/day¡A 2gm/day)¡A 500mg Q12H(­ì3gm/day¡A 4gm/day),500mg Q12H,,
ITIE5,¦¨¤H,Clcr,21.00,40.00,mL/min,mL/min,250mg Q12H(­ì1gm/day)¡A 250mg Q8H(­ì1.5gm/day)¡A 250mg Q6H(­ì2gm/day)¡A 500mg Q8H(­ì3gm/day)¡A 500mg Q6H(­ì4gm/day),500mg Q6H,,
ITIE5,¦¨¤H,Clcr,41.00,70.00,mL/min,mL/min,250mg Q8H(­ì1gm/day)¡A 250mg Q6H(­ì1.5gm/day)¡A 500mg Q8H(­ì2gm/day)¡A 500mg Q6H(­ì3gm/day)¡A 750mg Q8H(­ì4gm/day),750mg Q8H,,
ITIEN,¦¨¤H,Clcr,0,5.00,mL/min,mL/min,­Y¦P®É±µ¨ü¦å²G³zªRªÌ¡A¥i¥ÎClCr=6~20min/mLªº«ØÄ³¾¯¶q¡Aµ¹ÃÄ®É¶¡¤À§O¬°³zªR«á»P12¤p®É«á,500mg Q12H,201907111034,
ITIEN,¦¨¤H,Clcr,6.00,20.00,mL/min,mL/min,250mg Q12H(­ì1gm/day¡A 1.5gm/day¡A 2gm/day)¡A 500mg Q12H(­ì3gm/day¡A 4gm/day),500mg Q12H,201907111034,
ITIEN,¦¨¤H,Clcr,21.00,40.00,mL/min,mL/min,250mg Q12H(­ì1gm/day)¡A 250mg Q8H(­ì1.5gm/day)¡A 250mg Q6H(­ì2gm/day)¡A 500mg Q8H(­ì3gm/day)¡A 500mg Q6H(­ì4gm/day),500mg Q6H,201907111034,
ITIEN,¦¨¤H,Clcr,41.00,70.00,mL/min,mL/min,250mg Q8H(­ì1gm/day)¡A 250mg Q6H(­ì1.5gm/day)¡A 500mg Q8H(­ì2gm/day)¡A 500mg Q6H(­ì3gm/day)¡A 750mg Q8H(­ì4gm/day),750mg Q8H,201907111034,
ITPN1,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261532,201804261532
ITPN1A,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261527,201804261528
ITPN2,¦¨¤H,eGFR,0,59.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261528,201804261528
ITPN2A,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261529,201804261529
ITPN3,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261529,201804261529
ITPNP1,¨àµ£,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261531,201804261531
ITPNP2,¨àµ£,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261531,201804261531
ITPNP3,¨àµ£,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261532,201804261532
ITRAM,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,increase dosing interval to 12 hours,MAX 200 mg/day,201804141523,201804141523
ITRAN,¦¨¤H,Scr,1.36,2.83,mg/dL,mg/dL,Maintenance dose of 10 mg/kg/dose twice daily,,201804231437,
ITRAN,¦¨¤H,Scr,2.83,5.66,mg/dL,mg/dL,Maintenance dose of 10 mg/kg/dose once daily,,201804231438,
ITRAN,¦¨¤H,Scr,5.66,99.00,mg/dL,mg/dL,Maintenance dose of 10 mg/kg/dose every 48 hours or 5 mg/kg/dose once daily,,201804231438,201804231439
IVAN1,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis: Less than 70 kg¡A 1000-mg loading dose and then 500-mg maintenance dose infused over last 30 minutes of dialysis; 70 to 100 kg¡A 1250-mg loading dose and then 750-mg maintenance dose infused over last 60 minutes of dialysis; greater than 100 kg¡A 1500-mg loading dose and then 1000-mg maintenance dose infused over last 90 minutes of dialysis,Micromedex 20201123,202011231000,202011231001
IVAN1,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,Renal impairment (adult and pediatric): 15 mg/kg initially and then optimize dose and interval based on serum drug concentrations,Micromedex 20201123,202011230958,202011231001
IVAN1,¦¨¤H,Clcr,100.00,0,mL/min,mL/min,¾¯¶q¬O¨C¤Ñmg¤§µÇµ·²y¹LÂo³t²vml/min ªº15­¿¡A½Ð¨Ì¦¹°Ñ·Ó100mL/min:1545mg/24hr; 90mL/min:1390mg/24hr; 80mL/min:1235mg/24hr; 70mL/min:1080mg/24hr; 60mL/min:925mg/24hr; 50mL/min:770mg/24hr; 40mL/min:620mg/24hr; 30mL/min:465mg/24hr; 20mL/min:310mg/24hr; 10mL/min:155mg/24hr;³Ìªì¾¯¶q¤£¥i¤Ö©ó15mg/kg¡A¹ï¤¤«×¦Ü­««×µÇ¤£¥þ±wªÌ¥ç¦P¡C,¥é³æ,202011230948,202011231001
IVANS,¦¨¤H,eGFR,0,15.00,mL/min/1.73m2,mL/min/1.73m2,<60kg:750mg; 60-80kg:1000mg; 81-100kg:1250mg; >100kg:1500mg.Check a random vancomycin level in 24 hours after the dose. If random level is =<20 mcg/mL¡A repeat the dose. If random level is >20 mcg/mL¡A do not redose; repeat random level in 12 hours.,[UpToDate on 2020-05-07],202005071141,202005071142
IVANS,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,End-stage renal disease on intermittent hemodialysis (administer after hemodialysis on dialysis days): Following loading dose of 15 to 25 mg/kg¡A give either 500 to 1¡A000 mg or 5 to 10 mg/kg after each dialysis session. Note: Dosing dependent on the assumption of 3 times/week¡A complete IHD sessions.,[UpToDate on 2020-05-07],202005071143,202005071145
IVANS,¦¨¤H,eGFR,15.00,49.00,mL/min/1.73m2,mL/min/1.73m2,<60kg:750mg Q24H; 60-80kg:1000mg Q24H; 81-100kg:1250mg Q24H; >100kg:1500mg Q24H,[UpToDate on 2020-05-07],202005071138,
IVANS,¦¨¤H,eGFR,50.00,90.00,mL/min/1.73m2,mL/min/1.73m2,<60kg:750mg Q12H; 60-80kg:1000mg Q12H; 81-100kg:1250mg Q12H; >100kg:1000mg Q8H,[UpToDate on 2020-05-07],202005071137,202005071140
IVANS,¦¨¤H,eGFR,90.00,999.00,mL/min/1.73m2,mL/min/1.73m2,<60kg:750mg Q8H; 60-80kg:1000mg Q8H; 81-100kg:1250mg Q8H; >100kg:1500mg Q8H,[UpToDate on 2020-05-07],202005071134,202005071139
IVANS,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,7.5mg/kg Q2D-Q3D,[Sanford Guide - Antimicrobial on 2020-05-07],202005071202,202005071200
IVANS,¦¨¤H,Clcr,0,0,mL/min,mL/min,7.5mg/kg Q2D-Q3D; at end of hemodialysis on dialysis days: next hemodialysis in 1 day: 15mg/kg; 2 day: 25mg/kg; 3days: 35mg/kg,[Sanford Guide - Antimicrobial on 2020-05-07],202005071208,202005071200
IVANS,¦¨¤H,Clcr,10.00,100.00,mL/min,mL/min,¨C¤é¾¯¶q¡]mg¡^¬ù¬°µÇµ·²yÂo¹L²v¡]ml/min¡^ªº15­¿(Ã­©wª¬ªp¤UªºµÇ¥\¯à),[¥é³æ],,202005071209
IVANS,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,15mg/kg Q24-96h,[Sanford Guide - Antimicrobial on 2020-05-07],202005071201,202005071200
IVANS,¦¨¤H,Clcr,50.00,120.00,mL/min,mL/min,15mg/KG Q12H,[¥é³æ],,202005071210
IVANS,¦¨¤H,Clcr,50.00,90.00,mL/min,mL/min,15-30mg/kg Q12h,[Sanford Guide - Antimicrobial on 2020-05-07],202005071200,202005071200
