ÃÄ«~¥N½X,ÃÄ«~¾Ç¦W,ÃÄ«~¦WºÙ,ÃÄ«~¤ÀÃþ,¾AÀ³¯g,¸T§Ò,°Æ§@¥Î,Àx¦s,¥Îªk¥Î¶q,¨x¥\¯à²§±`(Y/N),¨x¥\¯à²§±`»¡©ú,µÇ¥\¯à²§±`(Y/N),Ãh¥¥¥ÎÃÄ¦MÀI¤À¯Å,¥¥´Á¥ÎÃÄ«ØÄ³,¥¥´Áªþ±a»¡©ú,­÷¨Å´Á¥ÎÃÄ«ØÄ³,­÷¨Å´Áªþ±a»¡©ú,µ¹ÃÄ³~®|,°®¯»µ}ÄÀ²G,¿éª`ÂIºw²G,IVP¥Îªk«ØÄ³,IVD¥Îªk«ØÄ³,ª`·N¨Æ¶µ
OLIVA,Pitavastatin,Livalo 2mg,CAVS,,¸T§Ò: Hypersensitivity to pitavastatin or any component of the formulation; active liver disease including unexplained persistent elevations of hepatic transaminases; concurrent use with cyclosporine; pregnancy; breast-feeding °Æ§@¥Î: 2% to 10%: Gastrointestinal: Constipation (2% to 4%)¡A diarrhea (2% to 3%) Neuromuscular & skeletal: Back pain (1% to 4%)¡A myalgia (2% to 3%)¡A pain in extremities (1% to 2%) <2% (Limited to important or life-threatening): Alkaline phosphatase increased¡A amnesia (reversible)¡A arthralgia¡A bilirubin increased¡A blood glucose increased¡A cognitive impairment (reversible)¡A confusion (reversible)¡A CPK increased¡A glycosylated hemoglobin (Hb A1c) increased¡A headache¡A hyperglycemia¡A influenza¡A memory disturbance (reversible)¡A memory impairment (reversible)¡A nasopharyngitis¡A pruritus¡A rash¡A transaminases increased¡A urticaria ¾AÀ³¯g:Primary hyperlipidemia and mixed dyslipidemia for Adult and 10 years older chindren.,,«Ç·Å,Dosing: Adult:Primary hyperlipidemia and mixed dyslipidemia: Oral: Initial: 2 mg once daily; may be increased to maximum 4 mg once daily 10 years older chindren: Oral: Initial: 1 mg once daily; may be increased to maximum 2 mg once daily Note: Doses should be individualized according to the baseline LDL-cholesterol levels¡A the recommended goal of therapy¡A and patient response; adjustments should be made at intervals of 4 weeks. Dosage adjustment with concomitant medications: Erythromycin: Pitavastatin dose should not exceed 1 mg once daily Rifampin: Pitavastatin dose should not exceed 2 mg once daily Dosing: Geriatric Refer to adult dosing. Safety and efficacy not established in pediatric patients,»Ý½Õ¾ã¾¯¶q,1 mg once daily; may be increased to maximum 2 mg once daily,»Ý½Õ¾ã¾¯¶q,¤£¥i¨Ï¥Î,,,No (Limited) Human Data ¡V Potential Toxicity(Mother) µL(«Ü¤Ö)¸ê®Æ ¡V Á×§K¨Ï¥Î(¥ÀÅé),Micromedex Lactation Rating: Infant risk cannot be ruled out. a) Available evidence and/or expert consensus is inconclusive or is inadequate for determining infant risk when used during breastfeeding. Weigh the potential benefits of drug treatment against potential risks before prescribing this drug during breastfeeding. 2) Clinical Management a) No reports describing the use of pitavastatin during human lactation or measuring the amount¡A if any¡A of the drug excreted into milk have been located. Because of the potential for adverse events in nursing infants¡A pitavastatin use is contraindicated during lactation,,,,,,
INS1,Sodium Chloride,Sodium chloride 0.9% inj 1000mL,MSIV,¬°­¹ÆQ¤ô¨R¬~²G(A001085209),,,«Ç·Å,Individualized dosage.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Uknown ¨S¦³¸ê®Æ,,Unknown ¨S¦³¸ê®Æ,,IRR;IVD;,,,,,
IMYC,Micafungin,Mycamine inj 50mg,QANB,Candidemia¡A acute disseminated candidiasis¡A and Candida peritonitis and abscesses¡A Esophageal candidiasis¡A Prophylaxis of Candida infection in hematopoietic stem cell transplantation,Hypersensitivity to micafungin¡A other echinocandins¡A or any component of the formulation,>10%: Cardiovascular: Tachycardia (3% to 26%)¡A localized phlebitis (with peripheral administration; 5% to 19%) Central nervous system: Headache (2% to 44%)¡A insomnia (4% to 37%)¡A anxiety (?23%)¡A dizziness (13%) Dermatologic: Pruritus (pediatric patients ages 3 days through 16 years: ?33%; adults 6%)¡A skin rash (2% to 30%)¡A urticaria (pediatric patients ages 3 days through 16 years: ?19%; adults <5%) Endocrine & metabolic: Hypokalemia (14% to 18%)¡A hypomagnesemia (6% to 13%) Gastrointestinal: Diarrhea (7% to 77%)¡A nausea (7% to 71%)¡A vomiting (7% to 66%)¡A abdominal pain (2% to 35%)¡A abdominal distension (pediatric patients ages 3 days through 16 years: 2% to 19%)¡A mucositis (14%)¡A constipation (11%) Genitourinary: Decreased urine output (pediatric patients ages 3 days through 16 years: ?23%)¡A hematuria (pediatric patients ages 3 days through 16 years: ?23%) Hematologic & oncologic: Neutropenia (5% to 75%)¡A thrombocytopenia (4% to 75%)¡A anemia (pediatric patients ages 3 days through 16 years: 13% to 51%; adults 3% to 10%)¡A febrile neutropenia (?16%) Hepatic: Increased serum ALT (pediatric patients ages 3 days through 16 years: ?16%; adults 5%)¡A abnormal hepatic function tests (pediatric patients ages 3 days through 16 years: <15%; adults 4%)¡A hyperbilirubinemia (pediatric patients ages 3 days through 16 years: <15%; adults <1%) Renal: Renal failure (pediatric patients ages 3 days through 16 years: <15%) Miscellaneous: Fever (pediatric patients ages 3 days through 16 years: 9% to 61%; adults 7% to 20%)¡A infusion related reaction (pediatric patients ages 3 days through 16 years: ?16%; adults <5%),15-30¢JÁ×¥ú,Adult: Candida esophagitis: 150 mg IV Q24H; candidemia: 100 mg IV Q24H; prophylaxis¡A post transplant: 50 mg IV Q24H. Children > 4 months: Esophageal candidiasis: (weight< 30 kg) 3 mg/kg Q24H or (weight > 30 kg) 2.5 mg/kg Q24H (maximum 150 mg); candidiasis: 2 mg/kg Q24H (maximum 100 mg); prophylaxis in HSCT recipients: 1 mg/kg Q24H (maximum 50 mg).,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,No (limited) human data ¡V animal data suggest low risk,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,IVD;,IVD: 5mL N/S¡A D5W(»Ý´î¤Öªwªj§Î¦¨),¡iD5W¡j¥i¿ï ¡C¡iN/S¡j¥i¿ï ¡C,,µ¹ÃÄ¿@«×0.5~1.5mg/mL¡A«ØÄ³ºwª`1¤p®É¥H¤W,¥»«~°t»s«áÀ³Á×¥ú¡A¨Ã¥iÀx¦s¦b­ì¤p²~¤º¡A«Ç·Å25¢J(77¢K)¤U³Ì¦h«O¦s24¤p®É¡C
ITTA1,Tetanus Toxoid Alum Precipitate,Tetanus Toxoid 0.5mL/dose¡A 1mL/vial,HIMM,,¾AÀ³¯g: Active immunization of tetanus. °Æ§@¥Î: Drowsiness¡A malaise¡A hypersensitivity. ¸T§Ò¡GHypersensitivity to tetanus toxoid or any component of the formulation,,2-8¢J,IM¡A 0.5 mL/dose. Primary immunization: I.M.: 0.5 mL; repeat 0.5 mL at 4-8 weeks after first dose and at 6-12 months after second dose Routine booster dose: Recommended every 10 years Tetanus prophylaxis in wound management: Tetanus prophylaxis in patients with wounds should consider if the wound is clean or contaminated¡A the immunization status of the patient¡A proper use of tetanus toxoid and/or tetanus immune globulin (TIG)¡A wound cleaning¡A and (if required) surgical debridement and the proper use of antibiotics. Patients with an uncertain or incomplete tetanus immunization status should have additional follow up to ensure a series is completed. Patients with a history of Arthus reaction following a previous dose of a tetanus toxoid-containing vaccine should not receive a tetanus toxoid-containing vaccine until >10 years after the most recent dose even if they have a wound that is neither clean nor minor.,µL»Ý½Õ¾ã¾¯¶q,There are no dosage adjustments provided in the manufacturer's labeling,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Compatible ¡V maternal benefit >> embryo-fetal risk,,Compatible ­÷¨Å®É¥i¨Ï¥Î,Inactivated vaccines do not affect the safety of breast-feeding for the mother or the infant. Breast-feeding infants should be vaccinated according to the recommended schedules.,IM;,,,,,
IHALA,Eribulin,Halaven inj 1mg/2mL,RACA,Treatment of Breast cancer¡A metastatic.,Hypersensitivity to eribulin mesylate¡A halichondrin B¡A or its chemical derivatives.,>10%: Central nervous system: Fatigue (54%)¡A fever (21%)¡A headache (19%) Dermatologic: Alopecia (45%) Gastrointestinal: Nausea (35%)¡A constipation (25%)¡A weight loss (21%)¡A anorexia (20%)¡A diarrhea (18%)¡A stomatitis (5% to 18%)¡A vomiting (18%) Hematologic: Neutropenia (82%; grades 3: 28%; grade 4: 29%; nadir: 13 days; recovery: 8 days)¡A anemia (58%; grades 3/4: 2%) Hepatic: ALT increased (18%) Neuromuscular & skeletal: Weakness (54%)¡A peripheral neuropathy (35%; grades 3/4: ?8%)¡A arthralgia/myalgia (22%)¡A back pain (16%)¡A bone pain (12%)¡A limb pain (11%) Respiratory: Dyspnea (16%)¡A cough (14%) 1% to 10%: Cardiovascular: Peripheral edema Central nervous system: Depression¡A dizziness¡A insomnia Dermatologic: Rash Endocrine & metabolic: Hypokalemia Gastrointestinal: Mucosal inflammation (9%)¡A abdominal pain¡A dyspepsia¡A taste alteration¡A xerostomia Genitourinary: Urinary tract infection (10%) Hematologic: Neutropenic fever (5%)¡A thrombocytopenia (grades 3/4: 1%) Neuromuscular & skeletal: Muscle spasm Ocular: Lacrimation increased Respiratory: Upper respiratory infection <1% (Limited to important or life-threatening): Pancreatitis¡A pharyngolaryngeal pain¡A sepsis,25¢J¥H¤U,1.4 mg/m2 on days 1 and 8 of a 21-day treatment cycle until disease progression or unacceptable toxicity.,»Ý½Õ¾ã¾¯¶q,Mild hepatic impairment (Child-Pugh class A): Reduce initial dose to 1.1 mg/m2. Moderate hepatic impairment (Child-Pugh class B): Reduce initial dose to 0.7 mg/m2.,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Contraindicated,,Contraindicated ­÷¨Å´Á¨Ï¥Î¸T§Ò,¼t°Ó Ãh¥¥¤À¯Å«Ø¥ß: D,IVD;,,¡iN/S¡j¥é³æ«ØÄ³¡C,,¥iµ¹¤©¥¼µ}ÄÀ©Î¥H100 mL 0.9% ´â¤Æ¶u·»²Gµ}ÄÀ«áªºª`®g²G¡C ÀR¯ßª`®gµ¹ÃÄ®É¶¡¬°2¦Ü5¤ÀÄÁ¡C,¤£¥i¥H¸²µå¿}·»²Gµ}ÄÀ©Î§t¸²µå¿}·»²G¤§ÀR¯ßª`®gºÞ½uµ¹ÃÄ¡C
OCEFA,Cefadroxil,Cefadroxil 500mg ½çºÖ±o­×,QANB,Susceptible infections.,Hypersensitivity to cephalosporins.,Nausea¡A vomiting¡A diarrhoea¡A abdominal discomfort; skin rash¡A angioedema; elevated liver enzyme values; superinfection with resistant organisms especially candida. Potentially Fatal: Anaphylactic reaction; pseudomembranous colitis.,25¢J¥H¤UÁ×¥ú,(¥é³æ) Adults: 1-2 g orally in 1-2 divided doses daily. (Uptodate) Children and adolescents: 15-30 mg/kg/dose every 12 hours (maximum daily dose: 2 g/day),µL»Ý½Õ¾ã¾¯¶q,,»Ý½Õ¾ã¾¯¶q,¥i¯à¦w¥þ,Compatible,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,AC;AC15;PC;PO;WM;,,,,,
OPKM,Amantadine,PK-Merz 100mg,CNEU,,¾AÀ³¯g: Parkinsonism of various origin¡A senile Parkinsonism¡A residual symptoms & discomfort after stereotactic operations. °Æ§@¥Î: Occasional dry mouth; dizziness. Paranoid exogenous psychoses associated with visual hallucinations¡A visual disturbances; motor or mental restlessness¡A urinary retention in the case of prostatic hypertrophy¡A signs of cardiac insufficiency¡A cardiac dysrhythmia associated with tachycardia¡A nausea¡A sleep disturbances¡A orthostatic dysregulation; very rarely¡A myoclonus & symptoms of peripheral neuropathy; livedo reticularis (marble skin) & lower-leg & ankle oedema are common occurrences; very rarely¡A increased photosensitivity; very rarely haematological side effects¡A such as leukopenia & thrombocytopenia; very rarely¡A anaphylactic reactions after infusion therapy. Cardiovascular: Orthostatic hypotension (1% to 5% )¡A Peripheral edema (1% to 5% ) Gastrointestinal: Constipation (1% to 5% )¡A Diarrhea (1% to 5% )¡A Loss of appetite (1% to 5% )¡A Nausea (5% to 10% )¡A Xerostomia (1% to 5% ) Neurologic: Ataxia (1% to 5% )¡A Confusion (1% to 5% )¡A Dizziness (5% to 10% )¡A Headache (1% to 5% )¡A Insomnia (5% to 10% )¡A Somnolence (1% to 5% ) Psychiatric: Agitation (1% to 5% )¡A Anxiety (1% to 5% )¡A Depression (1% to 5% )¡A Dream disorder (1% to 5% )¡A Feeling nervous (1% to 5% )¡A Hallucinations (1% to 5% )¡A Irritability (1% to 5% ) Other: Fatigue (1% to 5% ) ¸T§Ò: Severe CHF (NYHA class IV)¡A cardiomyopathies & myocarditis¡A 2nd or 3rd degree AV block¡A existing bradycardia under 55 beats/min¡A known prolonged QT interval (Bazett QTc > 420 ms) or discernible U-waves or congenital QT syndrome in the family anamnesis ¡A history of serious ventricular arrhythmias including torsade de pointes¡A simultaneous treatment with budipine or other drugs that prolong the QT interval¡A reduced levels of potassium or magnesium in the blood. Pregnancy & lactation.,,«Ç·Å,100 mg/day for the first 4-7 days¡A followed by a once-weekly increase in daily dose of 100 mg until the maintenance dose is reached. Usual effective dose: 200-600 mg/day.,µL»Ý½Õ¾ã¾¯¶q,,»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,,,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,,,,,,,
OWELL,Bupropion,Wellbutrin SR 150mg (±Æ¸Ë),CNEU,,¾AÀ³¯g: Treatment of depressive illnesses. °Æ§@¥Î: Very common: Insomnia¡A headache¡A dry mouth¡A GI disturbances eg nausea & vomiting. Common: Hypersensitivity reactions eg urticaria¡A anorexia¡A agitation¡A anxiety¡A tremor¡A dizziness¡A taste disorders¡A visual disturbances¡A tinnitus¡A hypertension¡A flushing¡A abdominal pain¡A constipation¡A rash¡A pruritus¡A sweating¡A fever¡A chest pain¡A asthenia. Cardiovascular: Hypertension (2.5% to 4.3% )¡A Tachyarrhythmia (10.8% ) Dermatologic: Pruritus (2% to 4% )¡A Rash (3% to 5% )¡A Urticaria (1% to 2% ) Gastrointestinal: Constipation (5% to 26% )¡A Nausea (9% to 24% ) Musculoskeletal: Arthralgia (1% to 5% )¡A Myalgia (2% to 6% ) Neurologic: Confusion (8.4% )¡A Dizziness (6% to 22.3% )¡A Headache (approximately 25% )¡A Insomnia (11% to 40% )¡A Tremor (2% to 21.1% ) Otic: Tinnitus (3% ) Psychiatric: Agitation (2% to 31.9% )¡A Anxiety (3.1% to 8% )¡A Hostile behavior (6% ) Reproductive: Disorder of menstruation (5% ) Respiratory: Pharyngitis (3% to 11% ) Other: Xerostomia (10% to 27.6% ) ¸T§Ò: Seizure disorder¡A undergoing abrupt discontinuation of alcohol or sedatives¡A current or previous diagnosis of bulimia or anorexia nervosa. Concomitant with other MAOIs.,,«Ç·Å,Adult & adolescents > 18 years Initially 150 mg as a single daily dose. Max: 300 mg/day in 2 divided doses at least 8 hr apart.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
IKCL6,Potassium Chloride,§NÂÃ20mEq KCl in¡iD5W 250mL¡j,NUTR,,,,2-8¢J,Adult: Initial loading dose: 40~60 mEq¡A with ECG monitoring then based on serum potassium levels¡A Serum K>2.5 mEq/L: concentration < 30 mEq/L¡A with speed< 10 mEq/hour (Maximum: 200 mEq/day) Serum K<2 mEq/L with ECG monitoring change or emergency treatment: speed< 2 0mEq/hour (Maximum: 400 mEq/day) Pediatric: maximum 3 mEq/kg or 40 mEq/m2 [Uptodate 20210731] Hypokalemia¡A treatment: Serum potassium 2.5 to 3 mEq/L: Initial: 10 to 20 mEq/hr; adjust based on frequent serum potassium monitoring; maximum infusion rate: 20 mEq/hr with continuous ECG monitoring. Serum potassium <2.5 mEq/L (not for emergency treatment of cardiac arrest): Initial: 10 to 40 mEq/hr; adjust based on frequent serum potassium monitoring; maximum infusion rate (central line only): 40 mEq/hr with continuous ECG monitoring; some patients may require up to 400 mEq/24 hrs. [Micromedex 20210731] Serum potassium greater than 2.5 mEq/L: Infuse up to 10 mEq/hr IV in a concentration of up to 40 mEq/L or 200 mEq in a 24-hour period. Serum potassium less than 2 mEq/L and ECG changes with or without muscle paralysis: Infuse up to 40 mEq/hr IV or 400 mEq over 24 hours; give carefully under guidance of continuous ECG monitoring and frequent serum potassium level determination.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,IVD;,,,,,1.¨Ï¥Î´Á¶¡À³ÄY±KºÊ´ú¯f±w¦å¹[¿@«×»P¤ß¹q¹Ï¡C 2.»PACE§í¨î¾¯¨Ö¥Î¥i¯à¤Þ°_°ª¦å¹[¯g¡C 3.»P«O¹[«¬§Q§¿¾¯¨Ö¥Î¥i¯à¤Þ°_ÄY­«°ª¦å¹[¯g¡B¤ß«ß¤£¾ã»P¤ß¸õ°±¤î¡C 4.¹[Â÷¤l±Æ°£¥\¯à¨ü·l©Î¿éª`¤Ó§Ö®É¡A¥i¯àµo¥Í­P©R©Ê°ª¦å¹[¯g¡C
ICEFT,Ceftazidime,Cetazine inj 1gm,QANB,Severe infections of resp tract¡A ENT¡A urinary tract¡A GI¡A biliary & abdominal. Skin & soft tissue infections¡A bone & joint infections. Infections associated with haemo- & peritoneal dialysis & with continuous ambulatory peritoneal dialysis (CAPD).,Hypersensitivity to cephalosporins.,Phlebitis or thrombophlebitis at IV inj site¡A pain &/or inflammation after IM inj. Hypersensitivity reactions¡A maculopapular or urticarial rash¡A fever¡A pruritus. GI disturbances¡A candidiasis¡A vaginitis¡A headache¡A dizziness¡A parasthesia¡A bad taste. Transient hematological changes. Cardiovascular: Phlebitis (less than 2%) Dermatologic: Injection site pain Gastrointestinal: Diarrhea (less than 2%) Immunologic: Immune hypersensitivity reaction¡A Rash (2%),25¢J¥H¤UÁ×¥ú,Adults: 0.5-2 g IV/IM Q8-12H; cystic fibrosis: 100-150 mg/kg/day (divided Q8H). Children aged 2 months to 1 years: 25-50 mg/kg Q8-12H *****NEONATE ANTIBIOTICS DOSE***** Ceftazidime (Fortum): general infection Body weight <1kg ge<=7day 50mg/kg Q12H  Age 8-14 day 50mg/kg Q12H  Age 15-28 day 50 mg/kg Q8H Body weight 1-2kg ge<=7day 50mg/kg Q12H  Age 8-14 day 50 mg/kg Q8H  Age 15-28 day 50 mg/kg Q8H Body weight >2kg Age<=7day 50 mg/kg Q12H  Age 8-14 day 50 mg/kg Q8H  Age 15-28 day 50mg/kg Q8H Meningitis: use smaller doses and longer intervals for neonates <2 kg Age<=7days 100-150 mg/kg/day divided Q12-Q8H 8-28 days 150 mg/kg/day divided Q8H Body weight <1kg ge<=7day 50mg/kg Q12H  Age 8-14 day 50mg/kg Q8H  Age 15-28 day 50 mg/kg Q8H Body weight 1-2kg ge<=7day 50mg/kg Q12H  Age 8-14 day 50 mg/kg Q8H  Age 15-28 day 50 mg/kg Q8H Body weight >2kg Age<=7day 50 mg/kg Q12H  Age 8-14 day 50 mg/kg Q8H  Age 15-28 day 50mg/kg Q8H,µL»Ý½Õ¾ã¾¯¶q,,»Ý½Õ¾ã¾¯¶q,¥i¯à¦w¥þ,Compatible,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,IM;IMP;IVD;IVI;IVP;IVPUSH;SCI;SUBCI;,"IM: 3.5 mL D/W; IV: 10mL D/W¡A N/S¡A D5W",¡iD5W¡j¥i¿ï ¥é³æ«ØÄ³¡C¡iN/S¡j¥i¿ï ¥é³æ«ØÄ³¡C¡iD10W¡j¥i¿ï ¡C¡iD5NS¡j¥i¿ï ¡C¡iL/R¡j¥i¿ï ¡C,±Àª`®É¶¡¦Ü¤Ö3 ~ 5¤ÀÄÁ,µ¹ÃÄ¿@«×20mg/mL¡A¥H20 ~ 30¤ÀÄÁ½wºCºwª`,1. ª`®g«e¸ß°Ý¯f±w¬O§_¦³£]-ñQÓiÃþ§Ü¥Í¯À¹L±Ó¥v¡C 2. ºÊ´úÅé·Å¡BCBC¡B¨xµÇ¥\¯à¡BPT­È¡Aª`·N¬O§_µo¥Í§Ü¥Í¯À¤Þ°_ªº¸¡Âm¡C 3. 2020/11/26¸ß°Ý¼t°Ó: 2-8«×C«O¦s¡A¥D¦¨¥÷¦w©w©Ê¬°4¤Ñ¡C
EPRE2,Prednisolone,Pred Mild 0.12% 5mL oph susp,TOPH,,¾AÀ³¯g: Steroid responsive inflammation of the palpebral & bulbar conjunctiva¡A cornea & anterior segment of the globe. °Æ§@¥Î: Increased intraocular pressure with optic nerve damage¡A visual field defects. Posterior subcapsular cataract formation (heavy or protracted use)¡A secondary ocular infection from fungi or viruses liberated from ocular tissues & perforation of the globe when there is thinning of the cornea or sclera. Systemic side effects may occur with extensive use of steroids. ¸T§Ò: Acute untreated purulent ocular infections¡A acute superficial herpes simplex (dendritic keratitis)¡A vaccinia¡A varicella & most other viral diseases of the cornea & conjunctiva¡A ocular TB & fungal diseases of the eye.,,«Ç·Å,1-2 drop bid-qid; during the initial 24-48 hr the dosage may be increased to 2 drop hrly.,,,,ºÉ¶qÁ×§K,,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,,,,,,
EETH7,Alcohol,75% Ethanol 200mL,TDER,,,,25¢J¥H¤U,,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,,,,,,EXT;,,,,,
OXELJ,Tofacitinib,Xeljanz 5mg,HIMM,Rheumatoid arthritis (Moderate to Severe)¡A Psoriatic arthritis¡A Ankylosing spondylitis¡A Ulcerative colitis (Moderate to Severe),Hypersensitivity to tofacitinib or any component of the formulation,Common: Increased HDL level (10-12%)¡A Low density lipoprotein cholesterol above reference range (15-19%)¡A Headache (3.4-9%)¡A Urinary tract infectious disease (2%)¡A Nasopharyngitis (2.8-14%)¡A Upper respiratory infection (3.8-6%) Serious: Cardiovascular morbidity¡A Major adverse cardiac events (MACE)¡A Death¡A Cardiovascular¡A Myocardial infarction¡A Skin cancer¡A Non-melanoma¡A Gastrointestinal perforation¡A Anemia (2-4%)¡A Arterial thrombosis¡A Decreased lymphocyte count (0.04%)¡A Deep venous thrombosis¡A Neutropenia (0.07%)¡A Hepatotoxicity¡A Infectious disease (20-22%)¡A Malignant lymphoma¡A Opportunistic infection¡A Post-transplant lymphoproliferative disorder¡A Epstein Barr virus associated (2.3%)¡A Tuberculosis¡A Cerebrovascular accident¡A Lung cancer¡A Pulmonary embolism¡A Cancer,30¢J¥H¤U,Rheumatoid arthritis¡A psoriatic arthritis¡A ankylosing spondylitis: 5 mg orally twice daily. Ulcerative colitis induction dose 10 mg orally twice daily (8-16 weeks)¡A maintenance dose 5 mg orally twice daily.,»Ý½Õ¾ã¾¯¶q,Moderate impairment: Reduce dose to 5 mg (immediate release) once daily. Severe impairment: Use is not recommended (has not been studied in patients with severe hepatic impairment or in patients with hepatitis B or hepatitis C viruses).,»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,No (limited) human data ¡V animal data suggest low risk,PREGNANCY RECOMMENDATION: Contraindicated if Combined with Methotrexate,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,BREASTFEEDING RECOMMENDATION: Contraindicated if Combined with Methotrexate,,,,,,[¿i¯»/ºÞÄéµù°O]¥»ÃÄ¬°§K¬Ì§í¨î¾¯¡A¤£©y¯}Ãa­ì¾¯«¬¡C­Y¦³¿i¯»»Ý¨D½Ð¨Ï¥Î«e¦Û¦æ¿i¯»¡A¨Ãª`·N¬ÛÃö­·ÀI¡C
OPRAD,Dabigatran,Pradaxa 110mg,HEMT,Prevention of venous thromboembolic events in patients who have undergone elective total hip or knee replacement surgery; stroke & systemic embolism in patients w/ atrial fibrillation in whom anti-coagulation is appropriate.,Severe renal impairment (CrCl <30 mL/min)¡A haemorrhagic manifestations¡A bleeding diathesis or patients w/ spontaneous or pharmacological impairment of haemostasis¡A lesions at risk of clinically significant bleeding¡A concomitant treatment w/ strong p-glycoprotein (p-gp) inhibitors eg ketoconazole.,Anemia¡A GI haemorrhage¡A haematoma¡A hematuria¡A wound haemorrhage; wound secretion¡A postprocedural haematoma¡A postprocedural haemorrhage¡A post-op anemia¡A traumatic haematoma¡A postprocedural discharge; ALT ¡Ù3 x ULN¡A decreased haemoglobin. Epistaxis¡A urogenital haemorrhage; abdominal pain¡A diarrhoea¡A dyspepsia¡A nausea.,30¢J¥H¤U¡AÁ×§KÀã®ð,Prevent stroke and systemic embolism in patients with non-vavular atrial fibrillation:adult patients with a CrCl greater than 30 mL/min is 110-150 mg orally twice daily¡A with or without food. For prophylaxis of venous thrombosis of hip replacement surgery¡A starting 75mg within 1-4 hours after the operation¡A then 150mg once daily for 28-35 days. (for knee replacement surgery 10 days.) Treatment of acute deep vein thrombosis(DVT) and/or pulmonary embolism(PE): Adult: recommended to be treated with injectable anticoagulant for at least 5 days¡A then 150mg twice a day for 6 months.,µL»Ý½Õ¾ã¾¯¶q,There are no dosage adjustments provided in the manufacturer¡¦s labeling; consistent changes in exposure or pharmacodynamics were not observed in a study of patients with moderate impairment.,»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,No (limited) human data ¡V animal data suggest moderate risk,,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,,WM;,,,,,[¿i¯»/ºÞÄéµù°O]¥»ÃÄÀ³¾ã²É§]ªA¡A ¤Á¤Å«rÄZ©Î¥´¶}½¦Ån¡C­Y¯}Ãa¾¯«¬·|³y¦¨¥ÍÅé¥i¥Î²v¼W¥[1.4­¿¦Ó¼W¥[¥X¦å­·ÀI¡C
IHEPA1,Heparin,Hepac inj 1KIU/0.2mL (¥Ó³ø­p»ù),HEMT,,Hypersensitivity to any component of the formulation.,,25¢J¥H¤U,,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,,Compatible,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,IRR;IVD;,,,,,
IABI5,Cisplatin,Abiplatin inj 50mg/100mL,RACA,,¾AÀ³¯g: Metastatic testicular tumors¡A Metastatic ovarian tumors¡A Advanced bladder cancer. °Æ§@¥Î: Nausea & vomiting¡A renal toxicity¡A bone-marrow depression¡A ototoxicity¡A serum electrolyte disturbances¡A peripheral neuropathy¡A retinal toxicity¡A anaphylactic reactions¡A cardiac abnormalities. ¸T§Ò: Hearing or renal impairment¡A myelosuppression¡A dehydration.,,«Ç·Å,IV infusion over 6-8 hrs¡A As a single agent: 50-100 mg/ml once every 4 wks. Metastatic testicular tumors: combined with vinblastine & bleomycin¡A 20/mL/day for 5 days every 3 wks for 3 courses. Metastatic ovarian tumors: combined with doxorubicin¡A 50 mg/mL once every 3 wks.,,,,ºÉ¶qÁ×§K,,,No (Limited) Human Data ¡V Potential Toxicity(Mother) µL(«Ü¤Ö)¸ê®Æ ¡V Á×§K¨Ï¥Î(¥ÀÅé),,,,,,,1. ¥»«~¬°¤ÆÀøÃÄª«¡A¿éª`®É»Ýª`·Nª`®g³¡¦ì¡A¨¾¤îÃÄ²G¥~º¯¡C 2. ½Õ°t»Pª`®gcisplatinªº¾¹¨ã¤£¥i§t¦³¾T¡C 3. µ}ÄÀ«áªº¿éª`·»²GÀ³Á×¥ú«O¦s¡C 4. µ¹ÃÄ«e«áÀ³µ¹¤©¯f¤H¾A·í¤ô¤À¸É¥R¡C 5. ºÊ´úCBC¡B¨xµÇ¥\¯à¡C 6. ©w´Á¯«¸g¾Ç¡BÅ¥¤OÀË´ú¡C
