"id","drug_code","engname","chiname","ingredients","type","shape","color","category","purpose","sideEffect","comment","photo","no_use","extra_buy","licenseNo3","licenseNo6","ATC_code","update_time","HazardousDrug",
"747","EPOL","Polytar liquid 1% 150mL","保麗娜液","Tar + Cade Oil + Coal Tar Soln","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","DE-Dermatologicals","頭皮癢、頭皮屑、濕疹、乾癬等症狀
Seborrhea, psoriasis, dandruff &amp; itching scalp.","","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","Polytar liquid.jpg","Y","N","","","","2024-07-07 20:51:26","",
"748","EPOSU","Posumin (External Use)","保使命","Epinephrine","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","CV-Cardiovascular System","過敏反應引起之休克呼吸道痙攣或喉頭水腫心跳停止之急救、支氣管性氣喘。加強及延長局部麻醉劑之作用","N/A","警  語:請依照指示期限內使用，建議藥品超過一個月後不應再用","Posumin.jpg","Y","N","fda12","004065","C01CA24","2024-08-11 16:12:31","",
"749","EBIAQ","Povidone-Iodine solution 200mL","金碘藥水","Povidone-iodine","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","DE-Dermatologicals","外用殺菌、消毒劑
Antiseptics &amp; disinfectants.","局部刺激
Local irritation","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","Povidone iodine soln.jpg","N","N","fda01","019423","D08AG02","2021-03-10 14:16:38","",
"750","EPRED","Pred Forte 1% 5mL ophthalmic suspension","倍力特眼用懸浮液","Prednisolone","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","OP-Ophthalmic Preparations","眼部過敏性發炎
Eye inflammation.","視力模糊
Blurred vision","青光眼病人在使用類固醇時需更加小心，應時常檢查眼內壓。
Glaucoma patients should use steroids with caution and regularly monitor intraocular pressure.
使用本品前需先摘下隱形眼鏡，滴入15 分鐘後，再重新戴上。
Remove contact lenses before use; wait 15 minutes after instillation before reinserting.
使用本藥若出現過敏或感染等症狀，請停用並與醫師聯絡
Precaution:If allergic or infection reactions occurred, withdrawal and consult to doctor.","EPRED_20240403094438_1.jpg","N","N","fda02","018654","S01BA04","2025-04-16 11:02:51","",
"753","EPRO","Protopic 0.03% oint,10gm","0.03%普特皮軟膏","Tacrolimus","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","主治異位性皮膚炎、濕疹
Atopic dermatitis (eczeme)","","警語:勿接觸眼、口、鼻腔等黏膜部位，並避免日曬
Precaution: Do not contact with the eyes or oral intake, avoid exposure to sunlight.","Protopic (EPRO).jpg","Y","Y","","","","2024-07-07 19:41:28","",
"754","EPROT1","Protopic ointment 0.1%,10gm","普特皮軟膏0.1%","Tacrolimus","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","主治異位性皮膚炎、濕疹
Atopic dermatitis (eczeme)","灼熱感, 搔癢, 類感冒症狀, 過敏反應
Skin burning, pruritus, flu-like symptoms, allergic reaction","警語:勿接觸眼、口、鼻腔等黏膜部位，並避免日曬
備註: 避免長期持續使用
Precaution: Do not contact with the eyes or oral intake, avoid exposure to sunlight.
Continuous long-term use should be avoided.","EPROT1_202410160957590000007.jpg","N","N","fda02","023346","D11AH01,D11AX14","2024-10-16 09:57:59","二級危害性",
"755","EPULN","Pulmicort nasal aqua 64mcg/dose","能舒鼻 定量噴液劑","Budesonide","鼻噴劑 Nasal Spray","罐(瓶)裝 Bot","無 Colorless","EN-ENT Preparations","過敏性鼻炎，季節性及經年性鼻炎、血管性鼻炎及治療鼻息肉的相關症狀
Seasonal &perennial rhinitis, vasomotor rhinitis.","打噴嚏
Sneezing","警語:為鼻用噴劑, 症狀未於三週內改善，請告知醫師
Precaution:Consult your doctor if symptoms persist within 3 weeks or get worse.","Pulmicort nasal spray.jpg","Y","N","fda02","023310","R01AD05","2013-07-28 17:15:12","",
"756","EPULT","Pulmicort Turbuhaler 200mcg/dose","可滅喘都保","Budesonide","吸入 Inhalation","罐(瓶)裝 Bot","無 Colorless","RE-Respiratory System","支氣管氣喘
Bronchial asthma.","似感冒症狀, 咳嗽, 聲音嘶啞, 口乾或喉嚨乾, 頭痛
Flu-like symptoms; cough; hoarseness; dryness of mouth or throat; headache","警語:吸入劑，使用後宜漱口
Precaution: For inhalation, gargle the mouth after using.","EPULT_20230206150536_1.jpg","Y","N","fda02","021989","R03BA02","2024-01-23 13:46:21","",
"759","ERIN5","Rinderon eye soln 0.1%, 5mL","0.1% 臨得隆眼液","Betamethasone","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","OP-Ophthalmic Preparations","眼部發炎等症狀","","警 語:除醫師指示外，請勿長期或密集地持續使用 
Precaution: Follow the doctor&#039;s advice, do not long-term or intensive use this medicine.","Rinderon soln.jpg","Y","N","","","","2024-07-07 19:42:26","",
"758","EQUI","Quinax 15mL","快納史眼藥水","Azapentacene Polysulfonate Sodium","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","OP-Ophthalmic Preparations","老年性或外傷性白內障
Senile cataract, traumatic cataract.","過敏反應
allergic reaction","警  語: 若發生嚴重過敏或發疹等不適症狀，應即停藥並請教醫師。貯放時需置於冰箱冷藏(攝氏 2-8 度)
Precaution: Report to doctor, if any severe hypersensitivity or skin rash occur.Store in a refrigerator (2-8°C).","EQUI_20160726154943_1.jpg","Y","N","fda02","022417","S01XA","2024-07-07 20:51:28","",
"760","ERINO","Rinderon-A eye oint 3gm","眼科用臨得隆複合軟膏","Betamethasone + Fradiomycin","外用 Topical Form","軟管 Tube","無 Colorless","OP-Ophthalmic Preparations","眼部或其他部位過敏性發炎症狀
inflammatory conditions of the eye","視力模糊
Blurred vision","警  語:除醫師指示外，請勿長期或密集地持續使用
Precaution: Follow the doctor&#039;s advice, do not long-term or intensive use this medicine.","Rinderon-A oint.jpg","Y","N","fda01","004974","S01CA05,S01AA03","2024-07-07 20:51:30","",
"761","ESER1","SERETIDE 125 EVOHALER","使肺泰125優氟吸入劑","Salmeterol + Fluticasone","吸入 Inhalation","罐(瓶)裝 Bot","無 Colorless","RE-Respiratory System","可逆性呼吸道阻塞之常規性治療
Asthma, chronic bronchitis.","口乾, 口內白斑, 聲音沙啞, 喉嚨痛, 肌肉疼痛, 顫抖
Dry mouth, white patches inside mouth, hoarseness, sore throat, muscle pain","警  語:吸入劑，使用後宜漱口
Precaution: For inhalation, gargle the mouth after using.","ESER1_20141110093641_1.jpg","Y","N","fda02","023482","R03AK04","2024-07-07 20:51:31","",
"762","ESIL","Siliverzine cream 1% 20gm","燙膚舒乳膏10毫克/公克 (達淨磺胺銀)","Silver Sulphadiazine","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","局部預防及治療二級、三級燒傷的傷口化膿
Wound in patients with burns.","灼熱感, 紅熱, 癢, 間質性腎炎(長期)
Burning, rash, itching, interstitial nephritis.","對磺胺藥過敏者禁用。請勿接觸眼、口或鼻腔。
Do not use if allergic to sulfa drugs. Avoid contact with eyes, mouth, or nose.
若出現過敏反應及皮膚疼痛，應停用並告知醫師。
Stop use and inform doctor if allergic reactions or skin pain occur.
新生兒及早產兒，不推薦使用本劑。
Not recommended for use in newborns and preterm infants.","Siliverzine cream.jpg","N","N","fda01","032571","D06BA01","2024-08-28 16:02:53","",
"763","ESIN","Sinomin oph soln 4% 15mL","止膿敏點眼液","Sulfamethoxazole","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","OP-Ophthalmic Preparations","眼部發炎等症狀
Eye inflammations.","眼睛有灼熱感或其他不適感
Burning or other eye discomfort","對磺胺藥過敏者禁用。
Do not use this medication if you have a sulfa allergy.
若出現過敏反應，應立刻停用並告知醫師。
Stop use and inform doctor immediately if allergic reactions occur.
備註：若同時使用兩種眼藥水，請間隔5分鐘。若無醫師指示，則無先後順序。
If using two eye drops together, please wait 5 minutes between applications.","ESIN_20141201134622_1.jpg","Y","N","fda01","045960","J01EC01","2024-09-04 15:20:23","",
"764","ESKI","Skinoren cream 30gm","思麗安乳膏　","Azelaic Acid","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","尋常性痤瘡(青春痘、粉刺、面皰)
Acne vulgaris.","灼熱感, 輕微刺痛感, 皮膚乾燥, 癢, 脫皮, 變紅
Burning, stinging, or tingling of skin, mild, dryness of skin, itching of skin","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","ESKI_20160510135928_1.jpg","Y","N","fda02","019488","D10AX03","2023-07-05 18:27:45","",
"765","ESPED","Spersallerg eye drop 10mL","治敏滅菌眼藥水","Antazoline + Tetryzoline","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","OP-Ophthalmic Preparations","眼部發炎等症狀
Ocular inflammation and other symptoms .","","警  語:請依照指示期限內使用，建議藥品超過一個月後不應再用
Precaution: Follow the doctor&#039;s advice, do not use it over one month after opening.","Spersallerg.jpg","Y","N","","","","2024-07-07 20:51:40","",
"766","ESERE","Seretide 50 evohaler","使肺泰50優氟吸入劑","Salmeterol + Fluticasone","吸入 Inhalation","罐(瓶)裝 Bot","無 Colorless","RE-Respiratory System","可逆性呼吸道阻塞之常規性治療，包括兒童與成人的氣喘
Asthma, chronic bronchitis.","口乾, 口內白斑, 聲音沙啞, 喉嚨痛, 肌肉疼痛, 顫抖
Dry mouth, white patches inside mouth, hoarseness, sore throat, muscle pain","警  語:吸入劑，使用後宜漱口
Precaution: For inhalation, gargle the mouth after using.","ESERE_20141110093842_1.jpg","N","N","fda02","023480","R03AK04","2024-07-07 20:51:33","",
"767","ESTE","Stesolid rectal tubes 10mg","疏痙直腸用液劑","Diazepam","外用 Topical Form","軟管 Tube","無 Colorless","CN-Neuromuscular System","檢查或手術前肛門用鎮靜劑
Sedative before exploratory examination.","疲倦、困倦、暈眩、記憶喪失、運動失調
Fatigue, drowsiness, dizziness, memory loss, ataxia","警  語:用藥後可能會有睡意、注意力不集中、反射能力降低等現象 (四級管制藥)
Precaution: May cause dizziness, weakness, incoordination  (Schedule 4 Controlled Drug)","Stesolid.jpg","N","Y","fda02","023460","N05BA01","2024-07-07 20:40:54","",
"768","ESUT","Sutrol gel-vaginal 7.5mg/gm, 25gm","素女潔陰道用凝膠","Metronidazole","外用 Topical Form","軟管 Tube","無 Colorless","UR-Genitourinary System","治療細菌陰道炎
Vaginal infections","陰部不適, 陰道念珠菌感染, 陰道刺激, 骨盆腔不適
Vag discomfort, vag candidiasis, vag irritation, pelvic discomfort.","請置於孩童無法取得之處。
Keep medicine out of the reach of children.
禁止使用於患有柯凱因氏症候群（Cockayne syndrome）的病人，因可能會產生嚴重肝毒性或急性肝衰竭。
Prohibited for use in patients with Cockayne syndrome, as it may cause severe hepatotoxicity or acute liver failure.","Sutrol gel vaginal.jpg","N","N","fda01","045386","G01AF01","2025-03-23 09:38:40","",
"769","ESYM","Symbicort Turbuhaler 160/4.5mcg","吸必擴都保定量粉狀吸入劑","Budesonide + Formoterol","吸入 Inhalation","罐(瓶)裝 Bot","無 Colorless","RE-Respiratory System","適合使用類固醇及長效β2作用劑合併治療支氣管氣喘。
Asthma, chronic obstructive pulmonary disease.","頭痛, 心悸, 顫抖, 口腔炎或出現白點, 喉嚨痛, 咳嗽, 聲音嘶啞
Headache; rapid pulse; trembling; sores, mouth irritation or white spots; sore throat","警 語:吸入劑，使用後宜漱口
Precaution: For inhalation, gargle the mouth after using.","ESYM_201805301209460000006.jpg","N","N","fda02","023265","R03AK07,R03AC13,R03BA02","2025-06-12 09:26:41","",
"770","ETAR","Tarivid otic solution 0.3%, 5mL","泰利必妥點耳液","Ofloxacin","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","EN-ENT Preparations","耳用滴劑，治療外耳炎、鼓膜穿孔之慢性中耳炎等
Ear infections.","頭暈
Dizziness","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","ETAR_20150401121209.jpg","Y","N","fda02","022283","S02AA16","2024-07-07 20:41:01","",
"771","ETEI","Teiria gel 5%, 40gm","思舒酸痛凝膠","Etofenamate","外用 Topical Form","軟管 Tube","無 Colorless","CN-Neuromuscular System","扭傷、撞傷、關節炎、風濕症等
Relief of pain &amp; inflammation.","皮膚搔癢, 紅斑, 皮膚刺激, 過敏性皮膚炎, 蕁麻疹
Pruritus, erythema, irritation, allergic contact dermatitis, hives","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","Teiria gel.jpg","Y","N","fda01","034159","M02AA06","2024-07-07 19:43:35","",
"772","ETOBO","Tobradex eye ointment 3.5gm","點必舒 眼藥膏","Tobramycin + Dexamethasone","外用 Topical Form","軟管 Tube","無 Colorless","OP-Ophthalmic Preparations","眼睛或其他部位過敏性發炎等症狀
Superficial infection of wound or eyes","視力模糊
Blurred vision","警 語:長期使用類固醇可能會造成眼壓增加，視神經受損
Precaution: May cause high eye pressure for long-term use.","ETOBO_20240403094718_1.jpg","Y","N","fda02","020915","S01CA01,S01AA30,S01AA12","2025-02-23 16:49:32","",
"773","ETOB","Tobradex 5mL ophthalmic suspension","點必舒眼用懸浮液","Tobramycin + Dexamethasone","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","OP-Ophthalmic Preparations","眼部發炎等症狀
Superficial bacterial infection of eyes","視力模糊
Blurred vision","警 語:長期使用類固醇可能會造成眼壓增加，視神經受損Precaution: May cause high eye pressure for long-term use.","ETOB_20240109171235_1.jpg","Y","N","fda02","018617","S01CA01,S01AA12","2025-02-23 16:49:50","",
"775","ETOP","Topsym lotion 0.05%, 10gm","0.05% 妥膚淨洗劑","Fluocinonide","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","DE-Dermatologicals","溼疹、皮膚炎、癢疹、乾癬、脂漏性皮膚炎等
Eczema, dermatitis, vitiligo, alopecia.","皮膚起水泡, 發癢, 灼熱感, 敏感性增加, 傷口癒合能力差
Blisters, burning, itching of skin, increased skin sensitivity, lack of healing","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: For external use only. Do not apply to eyes or take orally.
使用前請振搖均勻。
Shake well before use.
除醫師指示外，請勿長期或密集地持續使用。
Do not use continuously or excessively without medical advice.","Topsym lotion.jpg","N","N","fda01","029739","D07AC08","2024-07-07 19:43:52","",
"776","ETRA","Travatan 0.004%, 2.5mL","舒壓坦點眼液","Travoprost","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","OP-Ophthalmic Preparations","降低隅角開放性青光眼、慢性隅角閉鎖性青光眼且曾施行週邊虹膜切開術之病人或高眼壓患者之眼壓。
Lowering of ocular pressure.","視力減退, 異物感, 眼瞼炎, 視力模糊, 眼睛充血, 眼睛痛(發癢), 虹膜變色
Decreased visual acuity, foreign body sensation, blepharitis, blurred vision","警  語:孕婦或將懷孕之婦女避免使用
Precaution: Avoid in pregnancy.","Travatan_ETRA.jpg","Y","N","fda02","023422","S01EE04","2017-01-13 09:52:53","",
"777","ETRI","TRI-LUMA cream 15gm","汰膚斑乳膏 15 克","Fluocinolone + Hydroquinone + Tretinoin","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","配合防曬治療臉部肝斑
Melasma of the face","","警語:孕婦禁止使用本藥品,勿接觸眼、口或鼻腔,並避免日曬Precaution: Avoid in pregnancy, for external use, avoid exposure to sunlight.","Tri-LUMa cream.jpg","Y","N","","","","2024-07-07 20:51:52","",
"778","EULE","Ulex lotion 10% 30gm (Topical)","悠力素擦液","Crotamiton","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","DE-Dermatologicals","疥瘡、皮膚搔癢
Non-atopic allergy, urticaria, eczema.","局部刺激、接觸性皮膚炎、過敏反應
Local irritation, contact dermatitis, allergic reaction","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","EULE_20200813102058_1.jpg","Y","N","fda01","028952","P03AX","2024-07-07 20:41:05","",
"779","EURE","Urea cream 10%, 20gm","優膚乳膏","Urea","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","皮膚保濕劑及角質軟化劑(去角質)
Promote hydration, remote excess keratin.","局部刺激, 疼痛, 紅腫, 癢
Occasionally local stinging, pain, redness &amp; itch.","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","Urea cream.jpg","N","N","fda01","027289","D02AE01","2023-03-08 16:25:33","",
"780","EVID","Vidisic gel 10gm","維蒂斯眼用凝膠","Carbomer","外用 Topical Form","軟管 Tube","無 Colorless","OP-Ophthalmic Preparations","乾眼症
Treat dry eye.","短暫的視力模糊
Transient blurring in vision","警 語:請置於孩童無法取得之處
Precaution: Keep medicine out of the reach of children.","Vidisic gel.jpg","N","N","fda02","021277","S01XA20","2024-07-07 19:44:32","",
"781","EVENI","Ventolin inhaler 0.1mg/dose","泛得林定量噴霧劑","Salbutamol","吸入 Inhalation","罐(瓶)裝 Bot","無 Colorless","RE-Respiratory System","氣喘、支氣管炎
Relief of acute bronchospasm.","心跳加快, 頭痛, 發抖, 咳嗽, 頭暈, 口乾
Rapid heartbeat, headache, trembling, coughing , dizzy, dryness or irritation of mouth","警 語:為吸入劑
Precaution: For inhalation.","Ventolin inhaler.jpg","N","N","fda02","017528","R03AC02","2024-07-07 19:44:21","",
"782","EVIT","Vita A eye oint","維他命A 眼藥膏","Vitamin A","外用 Topical Form","軟管 Tube","無 Colorless","OP-Ophthalmic Preparations","角膜發炎等症狀
Corneal inflammation.","","警  語: 若發生嚴重過敏或發疹等不適症狀，應即停藥並請教醫師
Precaution: Report to doctor, if any severe hypersensitivity or skin rash occur.","Vita A eye oint.jpg","Y","N","","","","2013-04-09 16:38:50","",
"783","EVORS","Voren suppository 12.5mg","非炎栓劑","Diclofenac","栓劑 Suppository","魚雷型 Torpedo","無 Colorless","CN-Neuromuscular System","解熱、鎮痛、消炎
Relief pain, inflammation & fever.","腹痛, 便秘, 腹瀉, 脹氣, 噁心, 頭暈, 頭痛
Abdominal pain, constipation, diarrhea, flatulence, nausea, dizzy, headache","警語:肛門栓劑請置於25℃以下儲存, 並於剝外包裝後使用
Precaution: Anal suppository, store under 25°C in a dry place.","Voren suppository 12.5mg.jpg","N","N","fda01","028656","M01AB05","2014-04-03 15:02:45","",
"784","EXAL","Xalatan 0.005% 2.5mL ophthalmic solution","舒而坦眼藥水","Latanoprost","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","OP-Ophthalmic Preparations","六歲以上兒童與成人之青光眼、高眼壓。
Lowering of ocular pressure","視力模糊, 眼睛刺痛或流淚, 眼瞼及眼睛顏色變深
Blurred vision, eye irritation, or tearing, darkening of eyelid skin color, increase","開封前需置於冰箱冷藏(攝氏2-8度)。
開封後，室溫(低於攝氏25度)可使用四週。
Store in a refrigerator (2-8°C). 
Opened bottles may be stored at room temperature (below 25°C) for up to 4 weeks.","EXAL_20240424103308_1.jpg","N","N","fda02","022540","S01EE01","2024-07-07 19:44:49","",
"785","EXYLJ","Xylocaine jelly 30gm, 2%","苦息樂卡因凝膠2%","Lidocaine","外用 Topical Form","軟管 Tube","無 Colorless","CN-Neuromuscular System","為局部麻醉凝膠
Surface anaesthetics","過敏性休克
Anaphylactic shock","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","EXYLJ_20231004111741_1.jpg","N","N","fda02","021286","D04AB01","2024-07-07 19:45:01","",
"786","EXYSP","Xylocaine spray 10%, 50mL","苦息樂卡因唧筒式噴霧劑10%, 50毫升","Lidocaine","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","CN-Neuromuscular System","局部麻醉。
Local anesthesia.","局部刺激、過敏反應、急性全身性毒性
Local irritation, allergic reactions, acute systemic toxicity.","避免接觸眼睛。
Avoid contact with eyes.
過量或過於頻繁使用可能引起中毒反應。
Possible toxicity with overdose or excessive use.","Xylocaine Spray.jpg","N","N","fda02","022329","D04AB01","2024-07-07 20:41:10","",
"787","EZAD","Zaditen eye drops 5mL","立敏停點眼液","Ketotifen","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","OP-Ophthalmic Preparations","因過敏性結膜炎引起之眼睛癢
Allergic conjunctivitis","刺痛、乾眼、頭痛、口乾、過敏
pain in eye, dry eyes, headache, dry mouth, allergy","警 語:請置於孩童無法取得之處
Precaution: Keep medicine out of the reach of children.
","EZAD_20160719153816.jpg","Y","N","fda02","023793","S01GX08","2016-10-04 14:16:09","",
"788","EZAL","Zalain cream 2%, 15gm","達來乳膏","Sertaconazole","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","皮膚表面黴菌感染
Topical Antifungals &amp; Antiparasites","輕微局部短暫性過敏反應
Slight local &amp; transient erythematous reaction.","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","Zalain crean.jpg","N","N","fda01","043847","D01AC14","2024-07-07 20:51:57","",
"789","EZIN","Zin ointment 20%, 28.4gm","氧化鋅軟膏","Zinc Oxide","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","緩解皮膚刺激及搔癢等症狀、尿布疹
Treat eczema, scalp dermatoses.","皮膚乾燥或緊繃
Drying or tightening of skin.","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.","EZIN_202208031017180000004.jpg","N","N","fda01","046535","D02AB","2022-08-03 10:17:18","",
"790","EZOVC","Zovirax cream 5%, 2gm","5% 熱威樂素 乳膏劑","Acyclovir","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","主治單純性皰疹
Treat herpes simplex virus infection.","暫時性灼熱刺激, 輕微乾燥, 癢
Transient burning or stinging, mild drying , itching.","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.
","Zovirax cream.jpg","Y","N","fda02","013476","D06BB03","2015-02-23 15:14:29","",
"791","EZOR","Zorac cream 0.1%, 30gm","羅膚格 外用乳膏","Tazarotene","外用 Topical Form","軟管 Tube","無 Colorless","DE-Dermatologicals","乾癬、尋常性痤瘡
Treat psoriasis & acne vulgaris.","搔癢, 灼熱刺痛感, 紅腫, 牛皮癬惡化
Pruritus, burning/stinging, erythema, worsening of psoriasis","警 語:為外用藥品, 請局部使用, 勿接觸眼睛或誤服
Precaution: for external use, do not contact with the eyes or oral intake.
","Zorac cream.jpg","Y","N","fda02","023854","D05AX05","2015-02-04 11:14:08","",
"792","EZOVO","Zovirax eye oint 3%, 4.5gm","3% 熱威樂素","Acyclovir","外用 Topical Form","軟管 Tube","無 Colorless","OP-Ophthalmic Preparations","主治單純皰疹性角膜炎
Treat herpes simplex keratitis.","","警  語: 若發生嚴重過敏或發疹等不適症狀，應即停藥並請教醫師
Precaution: Report to doctor, if any severe hypersensitivity or skin rash occur.","Zovirax oph oint.jpg","Y","N","","","","2024-07-07 19:45:12","",
"793","ETHEW","Electronic Thermometer","婦人基礎溫度計","Thermometer","外用 Topical Form","組 Set","無 Colorless","MEDD-Medical Devices","測量基礎體溫
Measure basal body temperature.","","警 語:請置於孩童無法取得之處
Precaution: Keep medicine out of the reach of children.","ETHEW_20190220151923_1.jpg","N","N","fda55","003882","無","2019-02-20 15:20:22","",
"794","YSDE","舒摩兒醋酸灌洗液133mL/twin","舒摩兒醋酸灌洗液","Viniger + Water","外用 Topical Form","罐(瓶)裝 Bot","無 Colorless","MS-Miscellaneous","舒摩兒醋酸灌洗液
Extra cleansing solution.","","警 語:請置於孩童無法取得之處
Precaution: Keep medicine out of the reach of children.","YSDE.jpg","Y","N","","","","2024-08-11 16:00:30","",
"796","YISO","Isoflavone 30's/box","異黃酮素","Isoflavones","軟膠囊 Soft Cap.","三角形 Triangle","紅 Red","NU-Nutrition","植物性荷爾蒙補充
Relieves menopause symptoms.","","警 語:請置於孩童無法取得之處
Precaution: Keep medicine out of the reach of children.
","Isoflavone_YISO.JPG","Y","N","","","","2013-07-25 12:15:59","",
"797","YPHY","Phyto Soya 60&#039;s/box","荳留丰華膠囊","Isoflavones","硬膠囊 Hard Cap.","膠囊形 Capsule","無 Colorless","NU-Nutrition","植物性荷爾蒙
Relieves menopause symptoms.","","警 語:請置於孩童無法取得之處Precaution: Keep medicine out of the reach of children.","Phyto Soya.jpg","Y","N","","","","2024-08-11 15:57:03","",
"799","LROT3","RotaTeq (MSD) 2mL/dose","輪達停輪狀病毒疫苗","Human Rotavirus","口服液劑 Oral Liq.","盒 Box","無 Colorless","IM-Allergy and Immune System","輪狀病毒口服疫苗
Prevention of gastroenteritis caused by rotavirus","腹瀉, 嘔吐, 易怒, 發燒
Diarrhea, vomiting, irritability, fever.","警 語:領取疫苗後, 請至注射室依指示立即使用
Precaution: After receiving the vaccine, please go to the injection room immediately.","Rotateq_LROT3.jpg","N","N","fda10","000825","J07BH01","2024-07-07 20:54:42","",
"803","OLOF","Lofaxin 250mg","樂法勝膠囊","Cephalexin","硬膠囊 Hard Cap.","膠囊形 Capsule","綠.白 Green.White","AI-Anti-infective Agents","細菌性感染
Antibiotic for infection.","","警  語:請遵指示服完整個療程，若發生用藥不良反應請告知醫生
Precaution: Follow the doctor&#039;s advice, check with your doctor if you notice any side effects.","lofaxin.jpg","Y","N","","","","2024-07-07 20:47:26","",
"800","LROT2","Rotarix 1.5mL/dose oral suspension","羅特律輪狀病毒疫苗口服懸液劑","Human Rotavirus","口服液劑 Oral Liq.","盒 Box","無 Colorless","IM-Allergy and Immune System","口服輪狀病毒疫苗。預防輪狀病毒所引起的腸胃炎(G1與非G1血清型如G2、G3、G4和G9)。
Prevention of gastroenteritis caused by rotavirus","腸胃機能障礙、皮膚炎、紅疹、肌痙攣、發燒、疲倦。
GI disturbances, dermatitis, rash, muscle spasm, fever, fatigue.","警 語:領取疫苗後, 請立即至注射室依指示使用
Precaution: After receiving the vaccine, please go to the injection room immediately.","LROT2_20240405140326_1.jpg","N","N","fda10","000892","J07BH01","2024-07-07 20:54:40","",
"801","OELME","Elmesatt 2mg","抑塞錠","Dihydroergotoxine","錠劑 Tablet","圓扁形 Round","白 White","CV-Cardiovascular System","老人失智之輔助治療
Adjunct in treating symptoms of dementia.","","警  語: 若發生嚴重過敏或發疹等不適症狀，應即停藥並請教醫師
Precaution: Report to doctor, if any severe hypersensitivity or skin rash occur.","Elmesatt-OELME.JPG.jpg","Y","N","","","","2013-08-07 15:40:03","",
"802","ICER","Cervarix HPV 0.5mL/dose","保蓓人類乳突病毒第16/18型疫苗","HPV type16/18 L1 protein","注射劑 Injection","針筒 Syringe","無 Colorless","IM-Allergy and Immune System","預防子宮頸癌或病變
Prevent cervical dysplasia,cervical carcinoma.","頭痛, 腸胃不適, 癢, 皮疹, 肌肉疼痛, 關節痛
Headache, GI disturbances, itch, rash, myalgia, arthralgia","警 語:領取疫苗後, 請至注射室依指示立即使用
Precaution: After receiving the vaccine, please go to the injection room immediately.","Cervarix.jpg","Y","N","fda10","000856","J07BM02","2023-07-05 18:29:36","",
