____,____,____,____,___,__,___,__,____,_____(Y/N),_______,_____(Y/N),________,______,______,_______,_______,____,_____,_____,IVP____,IVD____,____
INOV6,Eptacog alfa,Novo Seven for inj 60K IU,HEMT,,___:Treatment of bleeding episodes & prevention of excessive bleeding in those undergoing surgery or invasive procedure in patients with congenital hemophilia with inhibitors_ acquired hemophilia_ Factor VII (FVII) deficiency_ Glanzmann's thrombathenia. ___:Rarely rash_ itching_ fever_ nausea_ headache_ general discomfort_ perspiration or changes in BP __:Hypersensitivity to mouse_ hamsters or bovine protein.,,2-8_,Hemophilia with inhibitors or acquired hemophilia 90 mcg/kg 2-3 hrly or 270 mcg/kg as single IV bolus. May increase dosing frequency to 4_ 6_ 8 or 12 hrly. FVII deficiency 15-30 mcg/kg 4-6 hrly by IV bolus. Glanzmann's thrombasthenia 90 mcg/kg body wt (80-120 mcg/kg body wt) 2 hrly (1.5-2.5 hr) at least 3 doses.,,,,_______,,,,,,,,,,
IVAR0,Varicella Vaccine,____(___) 0.5mL/dose,HIMM,,,,,,,,,,,,,,,,,,,
IADA0,Diphtheria + Tetanus + Pertussis,Adacel 0.5mL (__),HIMM,,,,,,,,,,,,,,,,,,,
HE5044,Dianeal 5000cc 4.25% (PD 2__),Dianeal 5000mL 4.25%(PD 2__),NUTR,,,,,DIANEAL peritoneal dialysis solutions are intended for intraperitoneal administration only. Not for intravenous administration Intermittent Peritoneal Dialysis (IPD) For dialysis of acute renal failure patients and maintenance dialysis of chronic renal failure patients_ the cycle of instillation_ dwell and removal of dialysis fluid is repeated sequentially over a period of hours (8 to 36 hours) as many times per week. For chronic renal failure patients who have residual renal function_ maintenance dialysis is often accomplished by periodic dialysis (3 to 5 times weekly) for shorter time periods (8 to 14 hours per session) Continuous Ambulatory Peritoneal Dialysis (CAPD) Patients on CAPD typically perform 4 cycles per day (24 hours). In CAPD_ the solution remains in the cavity for dwell times of 4 to 6 hours during the day and approximately 8 hours overnight. At the conclusion of each dwell period_ the access device is opened_ the solution drained and fresh solution instilled. Automated Peritoneal Dialysis (APD) Patients on APD typically perform 3-5 cycles at night and up to 2 cycles during the day. After the last outflow during the night_ the equipment is then disconnected from the patient and the dialysate remains in the peritoneum until the next cycle. Additional exchanges can be infused by the cycler machine into the peritoneum during the daytime. The fill volume depends on body size_ usually from 2.0 - 2.5 liters per 1.73m2,______,,,,,,,,,,,,,
HE5045,Dianeal 5000cc 4.25%(PD 4__),Dianeal 5000mL 4.25% (PD 4__),NUTR,,,,,DIANEAL low calcium peritoneal dialysis solutions are intended for intraperitoneal administration only. Not for intravenous administration. Intermittent Peritoneal Dialysis (IPD) For dialysis of acute renal failure patients and maintenance dialysis of chronic renal failure patients_ the cycle of instillation_ dwell and removal of dialysis fluid is repeated sequentially over a period of hours (8 to 36 hours) as many times per week. For chronic renal failure patients who have residual renal function_ maintenance dialysis is often accomplished by periodic dialysis (3 to 5 times weekly) for shorter time periods (8 to 14 hours per session) Continuous Ambulatory Peritoneal Dialysis (CAPD): Patients on CAPD typically perform 4 cycles per day (24 hours) Automated Peritoneal Dialysis (APD): Patients on APD typically perform 4-5 cycles at night and up to 2 cycles during the day. The fill volume depends on body size_ usually from 2.0 - 2.5 liters per 1.73m2,______,,,,,,,,,,,,,
HE5050,Nutrineal 2000cc 1.1% (PD 4__),Nutrineal 2000mL 1.1% (PD 4__),NUTR,,,,,The mode of therapy_ frequency of treatment_ formulation_ exchange volume_ duration of dwell_ and length of dialysis should be selected by the physician responsible for and supervising the treatment of the individual patient. Note that the recommended daily total intake of proteins is greater than or equal to 1.2-1.3 g/kg body weight for adult dialysis patients. A 2.0L bag of Nutrineal contains 22 g of amino acids which corresponds to 0.30 g/kg body weight/24 h (approximately 25% of the daily protein requirements) for an adult dialysis patient of 70 kg body weight.,______,,,,,,,,,,,,,
ECOS,Dorzolamide + Timolol,Cosopt 2/0.5% 5ml ophthalmic solution,TOPH,Treatment of elevated intraocular pressure (IOP) in patients with ocular hypertension_ open-angle glaucoma_ pseudoexfoliative glaucoma or other secondary open-angle glaucomas when concomitant therapy is appropriate.,Bronchial asthma or a history of bronchial asthma_ or severe COPD_ sinus bradycardia_ 2nd or 3rd degree AV block_ overt cardiac failure_ cardiogenic shock.,Taste perversion_ ocular burning &/or stinging_ conjunctival hyperemia_ blurred vision_ superficial punctate keratitis or eye itching. Cardiovascular: Angina_ Bradyarrhythmia_ Heart failure_ Hypertension_ Hypotension Gastrointestinal: Nausea (less than 5%)_ Taste sense altered (8%-42%)_ Vomiting (less than 5%)_ Xerostomia (less than 5%) Neurologic: Dizziness (less than 5%)_ Headache (less than 5%) Ophthalmic: Blepharitis (5%)_ Blurred vision (5% to 15%)_ Burning sensation in eye (12%-30%)_ Conjunctival hyperemia (5% to 15%)_ Excessive tear production (15%)_ Itching of eye (5% to 15%)_ Light intolerance (5% to 15%)_ Pain in eye (1%-14%) Psychiatric: Depression (less than 5%) Respiratory: Bronchitis_ Dyspnea_ Nasal congestion (less than 5%)_ Upper respiratory infection (less than 5%),30_____,Instill 1 drop BID into the conjunctival sac. Limited data available with child under 2 years old. Shake well before using.,______,,______,____,Human data suggest risk in 2nd and 3 rd trimesters,Dorzolamide ophthalmic: Limited Human Data—Probably Compatible Timolol ophthalmic: Human Data Suggest Risk in 2nd and 3rd Trimesters [__] ________<COSOPT>_ Dorzolamide ___________________________________dorzolamide_________ Timolol ____________Timolol______________timolol__________ _________________B________________________________________B__________________B____(____________________)______________________________________,No (Limited) Human Data - Probably Compatible _(__)__ - ___,Dorzolamide ophthalmic: No Human Data—Probably Compatible Timolol ophthalmic: Limited Human Data—Probably Compatible [__] ______dorzolamide________________dorzolamide___________________B________________________timolol_____________________B__________ _____<COSOPT>____________,OD;OL;OU;,,,,,
EPER,Test Strips,Performa test strips_ 50strips(__),ZOTH,,,,2-30_,,______,,______,__,Compatible,,Compatible ______,,,,,,,
EULTR,Test Strips,Ultra test strips(__),ZOTH,,,,,,,,,,,,,,,,,,,
INES,Darbepoetin alfa,NESP inj 20mcg(___-___),HEMT,,___: Treatment of anemia associated with chronic renal failure (CRF)_ including patients either on or not on dialysis. Treatment of anemia in patients with non-myeloid malignancies where anemia is due to the effect of concomitantly administered chemotherapy. ___: Vascular thrombosis_ CHF_ sepsis_ cardiac arrhythmia_ infections_ HTN_ hypotension_ myalgia_ headache_ diarrhea_ fever_ nausea_ chest pain. __: Uncontrolled HTN.,,2-8_,CRF patients Administered either IV/SC as a single weekly injection. Dose should be started & slowly adjusted to achieve & maintain a target Hb 10-12 g/dL. Reduce dose by 25% if rise in Hb is > 1 g/dL in 2 weeks. Correction of anemia Adult Initially 0.45 mcg/kg as single SC/IV once weekly. Maintain a target Hb 10-12 g/dL. Conversion From epoetin _ to NESP Starting weekly dose should be estimated on the basis of the weekly epoetin _ dose at the time of substitution. Administer once weekly if a patient was receiving epoetin _ 2-3 times weekly. Administer once every 2 weeks if a patient was receiving epoetin _ once weekly. Cancer patients receiving chemotherapy 2.25 mcg/kg once weekly. Increase dose to 4.5 mcg/kg if the rise in Hb is > 1 g/dL after 6 weeks. Refer full prescribing information for dosage adjustment.,,,,_______,,,Contraindicated _______,,,,,,,
IADEN,Adenosine,Adenozer inj 6mg/2mL,CAVS,,___: Treatment of paroxysmal supraventricular tachycardias. Diagnostic in narrow & broad-complex tachycardias ___: >10%: Cardiovascular: Cardiac arrhythmia (transient and new arrhythmia after cardioversion; eg_ atrial premature contractions_ atrial fibrillation_ premature ventricular contractions; 55%)_ chest pressure (and discomfort; 7% to 40%) Central nervous system: Headache (2% to 18%)_ dizziness (?12%) Dermatologic: Facial flushing (18% to 44%) Gastrointestinal: Gastrointestinal distress (13%) Neuromuscular & skeletal: Neck discomfort (includes throat_ jaw; <1% to 15%) Respiratory: Dyspnea (12% to 28%) 1% to 10%: Cardiovascular: Atrioventricular block (infusion 6%; third-degree <1%)_ depression of ST segment on ECG (3%)_ hypotension (<1% to 2%)_ chest pain_ palpitations Central nervous system: Nervousness (2%)_ paresthesia (?2%)_ numbness (1%)_ apprehension Dermatologic: Diaphoresis Gastrointestinal: Nausea (3%) Neuromuscular & skeletal: Upper extremity discomfort (?4%) Respiratory: Hyperventilation <1%_ postmarketing_ and/or case reports: Asystole (prolonged)_ atrial fibrillation_ blurred vision_ bradycardia_ bronchospasm_ burning sensation_ cardiac arrest (fatal and nonfatal)_ increased intracranial pressure_ injection site reaction_ loss of consciousness_ metallic taste_ myocardial infarction_ respiratory arrest_ seizure_ torsades de pointes_ transient hypertension_ ventricular arrhythmia_ ventricular fibrillation_ ventricular tachycardia __: Hypersensitivity to adenosine or any component of the formulation; second- or third-degree AV block_ sick sinus syndrome_ or symptomatic bradycardia; known or suspected bronchoconstrictive or bronchospastic lung disease_ asthma.,,__,Initially 3 mg by rapid IV bolus inj over 2 seconds. If required_ a 2nd dose of 6 mg & 3rd dose of 12 mg at 1-2 min intervals may be given.,______,,______,_______,Compatible – maternal benefit >> embryo-fetal risk,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,IVP;,,,______ (3mg > 2_)_,,
EAVA,Fluticasone,Avamys 27.5mcg/dose_ 120 doses nasal spray,TENT,Treatment of the symptoms of seasonal and perennial allergic rhinitis in patients aged 2 years and older.,Hypersensitivity to any ingredients of Avamys.,Headache_dizziness_ epistaxis_ pharyngitis_ nausea_ vomiting_ asthma symptoms_ nasal ulceration. Neurologic: Headache (8% to 9% ) Respiratory: Epistaxis (4% to 20% ),30_____,Allergic rhinitis (fluticasone furoate): Intranasal adult_ two sprays (27.5 mcg/spray) per nostril once daily (110 mcg/day). Total daily dosage should not exceed 2 sprays in each nostril (110 mcg/day). Children 2 to 11 years: Initial: 1 spray per nostril once daily (total daily dose: 55 mcg/day),______,,______,_______,Compatible,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,IN;,,,,,
ILUC,Ranibizumab,Lucentis inj 3mg/0.3mL,TOPH,,Treatment of neovascular (wet) age-related macular degeneration (AMD). __: Patients with active or suspected ocular or periocular infections. Patients with active intraocular inflammation. ____:Nasopharyngitis_ influenza; anemia; anxiety; headache_ stroke; intraocular inflammation_ vitritis_ vitreous detachment_ retinal hemorrhage_ visual disturbance_ eye pain_ vitreous floaters_ conjunctival hemorrhage_ eye irritation_ foreign body sensation in eyes_ lacrimation increased_ blepharitis_ dry eye_ ocular hyperemia_ eye pruritus; retinal degeneration_ retinal disorder_ retinal detachment_ retinal tear_ detachment of retinal pigment epithelium_ retinal pigment epithelium tear_ visual acuity reduced_ vitreous hemorrhage_ vitreous disorder_ uveitis_ iritis_ iridacyclitis_ cataract_ calaract subcapsular_ posterior capsule opacification_ punctuate keratitis_ corneal abrasion_ anterior chamber flare_ vision blurred_ inj site hemorrhage_ eye hemorrhage_ conjunctivitis_ conjunctivitis allergic_ eye discharge_ photopsia_ photophobia_ ocular discomfort_ eyelid edema_ eyelid pain_ conjunctival hyperemia; cough; nausea; allergic reactions; arthralgia; intraocular pressure increased.,,,0.5 mg (0.05 mL) by intravitreous inj_ initiated with a loading phase of 1 inj/mth for 3 consecutive months followed by a maintenance phase in which patients should be monitored for visual acuity on a monthly basis. Interval between 2 doses should not be < 1 month.,,,,_______,,,,,,,,,,
OMYC,Metolazone,Mycros 0.5mg,CAVS,,___: Hypertension. ___: Dizziness_ headache_ muscle cramps_ fatigue_ joint pain_ swelling_ chest pain. __: Anuria_ hepatic coma or pre-coma; allergy or hypersensitivity to metolazone.,,,1 tab once daily_ usually in the morning. may be increased to 2 tab once daily.,,,,____,,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,,,,,,,
ODUL,Bisacodyl,Dulcolax 5mg,ALIM,,___: ___(A028503100) Constipation. Preparation of diagnostic procedures_ in pre- & post-op treatment & in conditions which require defecation to be facilitated. ___: Rarely_ abdominal cramps_ abdominal pain & diarrhea. __: Ileus_ intestinal obstruction_ acute abdominal conditions including appendicitis_ acute inflammatory bowel diseases & severe abdominal pain associated with nausea & vomiting. Severe dehydration. Rare hereditary conditions of galactose intolerance eg. galactosemia or fructose intolerance.,,__,Oral: Adult: 10-15 mg qn. Child Over 4 yrs: 5 mg_ as one dose only.,,,,_______,,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,,,,,,
OEBI,Memantine,Ebixa 10mg,CNEU,Treatment of adult patients with moderate to severe Alzheimer’s disease.,Hypersensitivity to the active substance or to any of the excipients.,Common Gastrointestinal: Constipation (3% to 5% )_ Diarrhea (5% )_ Vomiting (2% to 3% ) Neurologic: Confusion (6% )_ Dizziness (5% to 7% )_ Headache (adults_ 6% ; pediatrics_ 8% ) Serious Neurologic: Cerebrovascular accident_ Seizure (up to 0.3% ) Renal: Acute renal failure Respiratory: Pneumonia,__,Initial_ 5 mg orally once daily; titrate in 5-mg increments at intervals of at least 1 week to 10 mg/day (5 mg twice daily)_ 15 mg/day (5 mg and 10 mg in separate doses)_ and 20 mg/day (10 mg twice daily); target daily dose is 20 mg/day.,_____,[__]_________(Child-Pugh A and B)___________________,_____,____,Uknown ____,[__]_memantine_____________________________________________________________________memantine_______,Unknown ____,[__]___memantine________________________________memantine________,AC;AC15;PC;PO;WM;,,,,,
OCAD,Amlodipine + Atorvastatin,Caduet 5/20mg,CAVS,Primary prevention of cardiovascular disease (high-risk for cardiovascular disease [CVD]): To reduce the risk of MI_ stroke_ and revascularization procedures and angina in adults without clinically evident coronary heart disease (CHD).,Active liver disease; unexplained persistent elevations of serum transaminases; pregnancy or women who may become pregnant; breastfeeding. Hypersensitivity to amlodipine_ atorvastatin_ or to other dihydropyridine calcium channel blockers; severe hypotension (systolic <90 mm Hg).,Amlodipine: Headache_ dizziness_ fatigue_ somnolence_ peripheral oedema_ flushing_ palpitations_ nausea_ abdominal pain; rarely pruritus_ rash_ dyspnoea_ asthenia and muscle cramps. Atorvastatin: Nasopharyngitis_ arthralgia_ diarrhoea_ pain in extremity_ UTI_ dyspepsia_ nausea_ musculoskeletal pain_ muscle spasms_ myalgia_ insomnia_ increased transaminases_ abnormal liver function test_ increased creatinine phosphokinase_ thrombocytopenia_ malaise_ hepatitis_ cholestasis_ bullous rashes. Potentially Fatal: Rhabdomyolysis with acute renal failure.,15-30_,Amlodipine: Initial_ 5-10 mg orally once daily_ titrate after 7-14 days to clinical response; if needed_ titration may proceed more rapidly; Atorvastatin: Initial_ 10-20 mg orally once daily; titrate within 2-4 weeks according to laboratory values; maintenance_ 10-80 mg once daily.,_____,May initiate Amlodipine component at 2.5 mg once daily. Use is contraindicated in active liver disease or unexplained persistent elevations of serum transaminases.,______,____,Contraindicated – 1st trimester,Amlodipine: Human Data Suggest Low Risk Atorvastatin: Contraindicated 1st Trimester [__] Atorvastatin_______________________________________________HMG-CoA__J______________________________________atorvastatin_________________ CADUET____________,Contraindicated _______,Amlodipine: Compatible Atorvastatin: Contraindicated [__] CADUET____________ Atorvastatin__________________________________________________atorvastatin__________________________________atorvastatin_______________________________________CADUET_________ Amlodipine_______________________amlodipine____4.2%_______________________amlodipine______________amlodipine__________________,AC;AC15;PC;PO;WM;,,,,,
OENZ,Serratiopeptidase,Enzdase EC 5mg,CNEU,,___: Inflammation after operation & traumatic injury_ inadequate expectoration of sputum in respiratory disease. ___:Skin rash; diarrhoea_ anorexia_ GI disturbances_ epistaxis (rare). __: Blood coagulation disorders.,,__,15-30 mg/day.,,,,____,,,Contraindicated _______,,,,,,,
OERY,Erythromycin,Erythromycin 250mg,QANB,Susceptible infections _Prophylaxis against pneumococcal infections; Prevention of streptococcal infections in patients w/ rheumatic fever or heart disease.,Hypersensitivity. Patient receiving astemizole_ terfenadine_ cisapride_ pimozide_ ergotamine or dihydroergotamine.,Rash_ urticaria; nausea_ vomiting_ GI discomfort; ototoxicity; central neurotoxicity; agranulocytosis; arrhythmias; pancreatitis. Potentially Fatal: Hepatotoxicity_ cholestatic jaundice; raised serum transaminases; eosinophilia.,25___,Adult 250-500 mg orally Q6H. Children 20-40 mg/pound/day_ divided Q6H. (__) Pediatric dose: 40-50 mg/kg/day_ divided Q6H.,_____,drug may accumulate in patients with severe liver disease; no specific dosing recommendations available,______,____,Uknown ____,Drugs in Pregnancy and Lactation _____ estolate salt___ (2020.12.02__),Compatible ______,,AC;AC15;PC;PO;WM;,,,,,
OBACL,Baclofen,Baclon 10mg,CNEU,,___:______(B019346100)(B020226100),,RT,5 mg tid for 3 days_ 10 mg tid for 3 days_ 15 mg tid for 3 days_ 20 mg tid for 3 days. Max daily dose: 80 mg.,,,,_______,,,,,,,,,,
OBAE,Methylcobalamin,Baesukang 500mcg,CNEU,,___:_______(A029759100) Peripheral neuropathies_ megaloblastic anaemia caused by vit B12 deficiency. ___:Anorexia_ nausea_ vomiting and diarrhoea. Parenteral: Rash_ headache_ hot sensation.,,__,Adult: PO Peripheral neuropathies 1_500 mcg/day in 3 divided doses. IV/IM Peripheral neuropathies 500 mcg/day 3 times/wk. Megaloblastic anaemia caused by vit B12 deficiency 500 mcg/day 3 times/wk for about 2 mth. Maintenance: 500 mcg 1-3 mthly.,,,,__,,,Compatible ______,,,,,,,
OBAK,Sulfamethoxazole + Trimethoprim,Baktar (Trimerin) 400/80mg,QANB,,,,RT,Antimicrobial: Adult: 2 tab q12h. Child over 2 months under 40 kg: 20 mg/kg syr & 4 mg/kg tab q12h. Antiprotozoal (Pneumocystis carinii pneumonia): Adult & child over 2 months: 18.75-25 mg/kg syr. & 3.75-5 mg/kg tab q6h for 2 wks.,,,,_______,,,,,,,,,,
OBEC,Sodium Dibunate,Becantex S.C. 30mg,ERSP,,___:____(A035817100) Cough. ___: GI discomfort.,,__,1 tab tid-qid.Childn:4~8mg/kg. Adult 90-240 mg/day. Children 7-15 years 60-120 mg/day_ 2-7 years 60-90 mg/day_ < 2 years 22-38 mg/day. Divided in 3 or 4 doses.,,,,____,,,Contraindicated _______,,,,,,,
OPRS,Finasteride,Proscar 5mg,SGU,Treatment & control of benign prostatic hyperplasia (BPH) to cause regression of enlarged prostate_ improve urine flow & improve the symptoms of BPH.,Women & paediatric patients.,Impotence_ decreased libido & volume of ejaculate.,30_____,5mg daily.,______,_____________(_Finasteride________),______,____,Uknown ____,,Unknown ____,,AC;AC15;PC;PO;WM;,,,,,1. [__/____]_______________________________________________________ 2. _______________
OPTU,Propylthiouracil,Procil 50mg,META,,___: Adjunctive therapy in patients intolerant of methimazole to ameliorate hyperthyroidism symptoms in preparation for surgical treatment or radioactive iodine therapy; treatment of hyperthyroidism in patients intolerant of methimazole and not candidates for surgical/radiotherapy ___: Cardiovascular: Periarteritis_ vasculitis (ANCA-positive_ cutaneous_ leukocytoclastic) Central nervous system: Drowsiness_ drug fever_ fever_ headache_ neuritis_ vertigo Dermatologic: Alopecia_ erythema nodosum_ exfoliative dermatitis_ pruritus_ skin pigmentation_ skin rash_ skin ulcers_ urticaria Endocrine & metabolic: Goiter_ weight gain Gastrointestinal: Constipation_ loss of taste_ nausea_ sialoadenopathy_ splenomegaly_ stomach pain_ taste perversion_ vomiting Hematologic: Agranulocytosis_ aplastic anemia_ bleeding_ granulopenia_ hypoprothrombinemia_ leukopenia_ thrombocytopenia Hepatic: Acute liver failure_ cholestatic jaundice_ hepatitis Neuromuscular & skeletal: Arthralgia_ myalgia_ paresthesia Renal: Acute renal failure_ glomerulonephritis_ nephritis Respiratory: Alveolar hemorrhage_ interstitial pneumonitis Miscellaneous: Lymphadenopathy_ SLE-like syndrome __:Hypersensitivity to propylthiouracil or any component of the formulation,,RT,Dosing: Adult --Hyperthyroidism: Oral: Initial: 300 mg/day in 3 divided doses_ usual maintenance: 100-150 mg/day --Graves’ disease (off-label use): Oral: Initial: 50-150 mg (depending on severity) 3 times daily to restore euthyroidism; maintenance: 50 mg 2-3 times daily for a total of 12-18 months_ then tapered or discontinued if TSH is normal at that time Thyrotoxic crisis/thyroid storm (off-label use): Oral: Typical dosing is 800-1200 mg/day given as 200-300 mg every 4-6 hours; maintenance dosage (100-600 mg/day in divided doses) Dosing: Pediatric --Hyperthyroidism: Oral: Children: Initial: 5-7 mg/kg/day or 150-200 mg/m2/day in divided doses every 8 hours or 6-10 years: 50-150 mg/day >10 years: 150-300 mg/day,,,,____,,,Compatible ______,,,,,,,
OREL,Buspirone,Relac 5mg,CNEU,,___: Anxiety. ___: Dizziness_ nausea_ headache_ nervousness_ lightheadedness_ excitement; rarely tachycardia_ palpitations_ chest pain_ drowsiness_ tinnitus. Gastrointestinal: Nausea (3%) Neurologic: Asthenia (2%)_ Confusion (2%)_ Dizziness (9%)_ Excitement (2%)_ Headache (3%)_ Numbness (2%) Ophthalmic: Blurred vision (2%) Psychiatric: Feeling angry (2%)_ Feeling nervous (4%)_ Hostile behavior (2%) __: Epilepsy_ severe hepatic or renal impairment_ pregnancy & lactation. Breast feeding.,,__,Initially 5 mg bid-tid_ increase as necessary every 2-3 days; usual range 15-30 mg daily in divided doses; max: 60 mg daily.,,,,____,,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,,,,,,,
OREN2,Enalapril,Renitec 20mg,CAVS,,,,,,,,,,,,,,,,,,,
HE5060,Extraneal 2L 7.5% 3.5meq/L__,Extraneal 2L 7.5% 3.5meq/L__,NUTR,,,,,Adults By intraperitoneal administration limited to a single exchange in each 24 hour-period_ as part of a CAPD or APD regimen. The volume to be instilled should be given over a period of approximately 10 to 20 minutes at a rate which the patient finds comfortable. For adult patients of normal body size the instilled volume should not exceed 2.0 L. If the instilled volume causes discomfort due to abdominal tension the instilled volume should be reduced to 1.5 L. The recommended dwell time is between 6 and 12 hours in CAPD and 14-16 hours in APD. Drainage of the fluid is by gravity at a rate comfortable for the patient.,______,,,____,,,Contraindicated _______,,,,,,,
HE5061,Extraneal 2L 7.5% 3.5meq/L__,Extraneal 2L 7.5% 3.5meq/L__,NUTR,,,,,Adults By intraperitoneal administration limited to a single exchange in each 24 hour-period_ as part of a CAPD or APD regimen. The volume to be instilled should be given over a period of approximately 10 to 20 minutes at a rate which the patient finds comfortable. For adult patients of normal body size the instilled volume should not exceed 2.0 L. If the instilled volume causes discomfort due to abdominal tension the instilled volume should be reduced to 1.5 L. The recommended dwell time is between 6 and 12 hours in CAPD and 14-16 hours in APD. Drainage of the fluid is by gravity at a rate comfortable for the patient.,______,,,____,,,Contraindicated _______,,,,,,,
ELID4,Lidocaine,Lidocaine solution 4% 30mL,ZANE,,___: Local anesth in bronchoscopy_ bronchography_ laryngoscopy_ oesophagoscopy_ endotracheal intubation_ & biopsy in the mouth & throat. ___: Rarely_ allergic reactions_ CNS excitation or depression_ hypotension_ bradycardia. __: Previously known hypersensitivity to local anaesthetics of amide type.,,__,Adult 2-7.5 mL (80-300 mg lidocaine); up to 400 mg may be administered during prolonged (> 5 mins) procedures. With applications mainly to the larynx_ trachea & bronchi_ the dose should not exceed 5 mL (200 mg lidocaine). When inhaled from a nebulizer_ 5-10 mL (200-400 mg lidocaine HCl) may be used.,,,,____,,,,,,,,,,
IMIL,Nitroglycerin,Millisrol inj 5mg/10mL,CAVS,Control of peri-op hypertension; CHF associated with acute MI. Treatment of angina pectoris unresponsive to recommended doses of organic nitrates &/or a _- blocker. Production of controlled hypotension during neurosurgical & orthopedic surgical procedures.,Acute circulatory failure or shock. Allergy to corn or corn products; IV may contain dextrose. Concomitant use of phosphodiesterase type 5 (PDE-5) inhibitors such as sildenafil_ tadalafil_ vardenafil_ or avanafil. Concomitant riociguat use or other soluble guanylate cyclase inhibitors. Constrictive pericarditis when administered via IV route. Early myocardial infarction associated with SL tablets. Hypersensitivity to nitroglycerin or any component of the product as well as other nitrates or nitrites. Increased intracranial pressure. Pericardial tamponade when administered via IV route. Restrictive cardiomyopathy when administered via IV route. Severe anemia. Narrow-angle glaucoma.,Tachycardia_ arrhythmia_ sudden drop of BP_ deterioration of cardiac output_ methemoglobinemia_ headache_ nausea_ vomiting. Cardiovascular: Hypotension Dermatologic: Erythroderma_ Flushing_ Rash Neurologic: Headache (63% )_ Lightheadedness (6% ),_______,Diluted to 0.005-0.05% (50-500 mcg/mL)_ IV infusion rate: 0.05-5 mcg/kg/minute according to indications and responses. Maintenance of reduced blood pressure during surgery: 1-5 mcg/kg/minute. Emergent treatment for hypertension during surgery: 0.5-5 mcg/kg/minute. Acute heart failure (including the acute exacerbation period of chronic heart failure): Initially 0.05-0.1 mcg/kg/minute_ then increase drip rate to 0.1-0.2 mcg/kg/minute every 5-15 minutes until desired response is obtained.,______,,______,____,Human data suggest low risk,[__] ________________________________ __________________,No (Limited) Human Data - Probably Compatible _(__)__ - ___,[__] _________________ ______(__)________________,IVD;,,_D5W___ ______L/R___ ______N/S___ ______D5NS___ _,,___0.005 ~ 0.05% (50 ~ 500 mcg/mL)_IV infusion rate: 0.05 - 5 mcg/kg/min_____________non-PVC___,1. ______non-PVC__ 2. _____________________________ 3. __________
ICIT3,Thiamylal,Citosol inj 300mg,ZANE,Intravenous anesthesia. Induction of general anesthesia.,Shock & circulatory insufficiency due to severe hemorrhage_ severe cardiac insufficiency_ acute & intermittent porphyria_ Addison's disease_ severe bronchial asthma. Hypersensitivity to barbiturates.,During anesth: respiratory arrest or depression_ laryngospasm_ hypotensin_ arrhythmia_ rash. After anesth: nausea_ vomiting_ headache_ dizziness_ tearing eyes_ tremor_ spasm_ excitation_ face flush_ diplopia_ numbness_ urinary retention_ drowsiness.,25___,Use 2.5% solution for IV injection. Induction of general anesthesia: 50-100mg (2.5% solution_ 2-4 mL) Anesthesia of short duration: 50-75mg (2.5% solution_ 2-3mL) IV over 10-15 seconds initially_ monitor the reaction for 30 seconds_ if necessary_ may readminister 50-75mg to produce anesthesia state. For maintaining the depth of anesthesia when the operation is not completed_ give 25-100mg (2.5% solution_ 1-4 mL). Maximum: 1000 mg for each time. Anesthesia for psychological electroconvulsive therapy: 300mg over 25-35 seconds (2.5% solution_ 12 mL). Combine use with local or inhaled anesthetics: 50-100mg IV drip intermittently (2.5% solution_ 2-4mL). Seizure: 50-200mg IV slowly (2.5% solution_ 2-8mL).,______,_____________,______,____,Uknown ____,,Unknown ____,,IVD;IVP;IVPUSH;,_________(300mg powder + 12mL_________2.5%___5%______),,IV test dose: 3mL______1mL/5 sec_____Max:1g/_ (300mg _________12 mL________ 2.5 %),IV test dose: 3mL______1mL/5 sec_____Max:1g/_ (300mg _________12 mL________ 2.5 %),1. __________________ 2. 300mg _________12 mL________ 2.5 % (__5 % ______)_ 3. __________ 1 gm______
