藥品代碼,藥品學名,藥品名稱,藥品分類,適應症,禁忌,副作用,儲存,用法用量,肝功能異常(Y/N),肝功能異常說明,腎功能異常(Y/N),懷孕用藥危險分級,孕期用藥建議,孕期附帶說明,哺乳期用藥建議,哺乳期附帶說明,給藥途徑,乾粉稀釋液,輸注點滴液,IVP用法建議,IVD用法建議,注意事項
IMIR,Methoxy Polyethylene Glycol- Epoetin β,Mircera inj 50mcg/0.3mL,HEMT,Treatment of symptomatic anemia associated with chronic kidney disease (CKD). Not indicated for the treatment of anemia due to cancer chemotherapy.,Uncontrolled hypertension.Neonates: injections containing benzyl alcohol.,Hypertension， diarrhea， nasopharyngitis， headache & upper respiratory tract infections. Increased mortality， serious cardiovascular & thromboembolic events; Increased mortality and/or tumor progression; seizures; pure red cell aplasia.,2-8℃避光避免冷凍,Adult without treated with an ESA before， initially IV/SC 0.6 mcg/kg as a single dose every 2 weeks. Once Hb has been maintained between 10-12 g/dL， one time per month could be considerated， with double dose of initial dose. Adult currently treated with an ESA， IV/SC every 2 weeks or once monthly. Previous dose of Epoetin α or β < 4000 u/week or Darbepoetin α < 20 mcg/week: 80 mcg/month or 40 mcg every 2 weeks. Previous dose of Epoetin α or β 4000-< 8000 u/week or Darbepoetin α 20-< 40 mcg/week: 120 mcg/month or 60 mcg every 2 weeks. Previous dose of Epoetin α or β 8000-16000 u/week or Darbepoetin α 40-80 mcg/week: 200 mcg/month or 100 mcg every 2 weeks. Previous dose of Epoetin α or β > 16000 u/week or Darbepoetin α > 80 mcg/week: 360 mcg/month or 180 mcg every 2 weeks. Dose adjustments should not be made more than once per month.,無需調整劑量,仿單資訊： 目前並不確知Mircera是否會分泌進入人類的乳汁。一項大鼠的研究顯示，Mircera會分泌進入 母乳。由於許多藥物都會分泌進入人類的乳汁，因此，對授乳婦女投予Mircera時應謹慎。,無需調整劑量,沒有資料,No (limited) human data – animal data suggest risk,仿單資訊：懷孕分級 C 對大鼠和兔子於懷孕期間以皮下注射的方式投予Mircera之後，兩種物種在每三天投予一次50 微公克/公斤的劑量下都有骨骼畸形的現象。所觀察到的影響為有一隻大鼠胎兒因尾椎骨缺失 而形成線狀尾巴，有一隻兔子胎兒因兩隻前腳的第一指沒有掌骨與趾骨而造成大拇指缺失，另 有兔子胎兒則是出現第四和第五頸椎中心融合的現象。大鼠與兔子的胎兒都有呈劑量相關性的 體重減輕現象。在每三天投予一次5微公克/公斤及更高的劑量下，Mircera在母獸中的藥效學作 用會更加擴大。 對懷孕母鼠每週投予一次最高達50微公克/公斤/劑之劑量的Mircera，並不會對懷孕參數、自然 生產或仔鼠觀察結果造成不良的影響。F1代仔鼠在哺乳及剛斷奶期間有死亡率升高及生長速率 明顯降低的現象。不過，在反射反應、身體和知能發展或生殖能力方面，各劑量組的F1代仔鼠 中皆未發現任何明顯的影響。 目前並無任何適當且控制良好的孕婦研究。只有在潛在效益超越胎兒可能面臨之風險的情況 下，才可於懷孕期間使用Mircera。,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,仿單資訊： 目前並不確知Mircera是否會分泌進入人類的乳汁。一項大鼠的研究顯示，Mircera會分泌進入 母乳。由於許多藥物都會分泌進入人類的乳汁，因此，對授乳婦女投予Mircera時應謹慎。,IV;SC;,,,,,Intravenous: Inject into the venous port of the hemodialysis tubing. SC: Inject into the outer aspect of the upper arms， abdomen (except for 2 inches around the navel)， or front aspect of the middle thighs. Do not inject into an area that has scars or stretch marks or is tender， red， bruised， or hard. Rotate injection sites with each injection to prevent soreness.
LSIM,Simethicone,(限腸胃中心)Simethicone 20mg/mL suspension,ALIM,Relief of flatulence & abdominal discomfort due to excess GI gas.,Intestinal perforation or obstruction.,Mild diarrhea， nausea & vomiting， regurgitation.,25℃以下避光,Adult & children > 3 years : 2mL TID - QID， or when needed; Children < 3 years should consult with doctor.,需調整劑量,,需調整劑量,可能安全,Compatible,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,AC;AC15;PC;PO;WM;,,,,,
ILIP20,MCT + Omega-3-triglyceride + Soya Oil,Lipoplus inj 20% 250mL,NUTR,Supply of lipids， including essential omega-6 fatty acids and omega-3 fatty acids， as part of a parenteral nutrition regimen for adults， when oral or enteral nutrition is impossible， insufficient or contra-indicated.,Severe hyperlipidemia， severe blood coagulation disorders， intrahepatic cholestasis， severe liver failure， severe renal failure without access to hemofiltration or dialysis， acute phase of MI or stroke， acute thromboembolic disease， lipid embolism. Hypersensitivity to egg， fish， or soya-bean protein. General contraindications to infusion therapy include unstable hemodynamic status with compromised vital functions (conditions of collapse & shock)， unstable metabolic conditions (eg. severe post-traumatic conditions， uncompensated diabetes mellitus， severe sepsis， acidosis)， acute pulmonary edema， hyperhydration， decompensated cardiac insufficiency， hypotonic dehydration， hypokalemia.,Dyspnea， allergic reaction， hyperglycemia， nausea， vomiting,25℃以下避光避免冷凍,Dosage Adult: 0.7-1.5g lipids/kg body weight/day， maximum: 2g lipids/kg body weight/day. For home TPN apply > 6 months or short bowel syndrome: <1g lipids/kg body weight/day. Children and adolescents: 2-3g lipids/kg body weight/day. Preterm neonatal infants， term newborn infants， infants and toddlers: 2-3g lipids/kg body weight/day. Maximum infusion rate Adults: Up to 0.15 g lipids/kg body weight/hr. Children and adolescents: Up to 0.15 g lipids/kg body weight/hr. Preterm neonatal infants， term newborn infants， infants and toddlers: Up to 0.15 g lipids/kg body weight/hr.,無需調整劑量,,無需調整劑量,沒有資料,Uknown 沒有資料,,Unknown 沒有資料,,IVD;,,,,輸注速率: 0.25 - 0.5 mL/kg/hr,1. 本脂肪乳劑可經由週邊靜脈或中央靜脈導管輸注，若使用含過濾器之輸注套，必須選擇適合脂肪乳劑者。 2. 脂肪乳劑應以慢速輸注為原則，尤其輸注開始的十五分鐘，每小時每公斤體重不超過0.375mL。 3. 最大輸注速度每小時每公斤體重0.75mL。
OEST,Estradiol Valerate,Estrade 2mg,HM,Relief of menopausal symptoms including patients with ovariectomy,Sever hepatic dysfunction， thrombophlebitis， thromboembolic disorders， hormone-dependent tumors， undiagnosed vag bleeding， pregnancy.,Breast tenderness， nausea， weight change， edema， headache， dizziness， abdominal pain.,25℃以下,Initial dose as 2 mg once daily for 20-21 days and stop for at least 1 week， followed by decrease dose to 1mg.,無需調整劑量,,無需調整劑量,不可使用,Contraindicated,,Compatible 哺乳時可使用,,AC;AC15;PC;PO;WM;,,,,,[磨粉/管灌註記]本藥為賀爾蒙用藥，勿放入磨粉機分包。若有磨粉需求請使用前自行磨粉並注意相關風險，尤其避免暴露於懷孕或準備懷孕婦女。
OFAM,Famciclovir,Famvir 250mg,QANB,Herpes zoster infections,Known hypersensitivity to famciclovir.,Headache， nausea. Gastrointestinal: Diarrhea (1.8% to 9% )， Flatulence (0.6% to 4.8% )， Nausea (2.2% to 12.5% )， Vomiting (1.2% to 4.8% ) Neurologic: Headache (9.7% to 39.3% ) Reproductive: Dysmenorrhea (0.9% to 7.6% ),30℃以下乾燥處,Adult: Herpes zoster (shingles): 250 mg orally TID for 7 days. Primary genital Herpes: 250 mg orally TID for 5 days. Recurrent genital Herpes: 125 mg orally BID for 5 days.,無需調整劑量,,需調整劑量,可能安全,No (limited) human data – animal data suggest low risk,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,AC;AC15;PC;PO;WM;,,,,,
IKA+X1,Triamcinolone Acetonide,Kenacort-A + 1% Xylocaine,HM,,,,,,,,,,,,,,,,,,,
IKA+X2,Triamcinolone Acetonide,Kenacort-A + 2% Xylocaine,HM,,,,,,,,,,,,,,,,,,,
IKCL1,Potassium Chloride,KCl inj (限添加用) 15%，10mL,NUTR,Hypokalaemia.,Hyperkalemia.,Hyperkalemia， pain or phlebitis at injection site.,避光,As TPN material. NOTE: Never give injectable potassium chloride undiluted. Standard daily potassium requirement: IV: 1 to 2 mEq/kg/day; adjust daily dose and selection of potassium additive (eg， chloride or acetate) based on serum potassium and clinical considerations; usual maximum: 10 mEq/hour (ASPEN 2019; Siparsky 2020).,無需調整劑量,,無需調整劑量,除非治療上需要,,,Contraindicated 哺乳期使用禁忌,,IVA;IVD;,,【D5W】可選 。【H/S】可選 。,,,1. 本品為高濃度鉀離子溶液，須稀釋後使用，限藥劑科用於製劑調配。 2. KCl製劑濃度 >= 0.1 mEq/mL時不可從周邊給藥。請確認病人有中央靜脈導管(Central venous catheter， CVC)，並在處方箋註明由中央靜脈導管給藥。
ILED,Triamcinolone Hexacetonide,Lederspan(Aristospan) 20mg/mL,HM,,Arthritis， severe dermatitis.,,,Adult: 2 ~ 40 mg IA,,,,除非治療上需要,,,,,,,,,,
ILEUP,Leuprolide,Leuplin Depot inj 3.75mg,RACA,,適應症: Palliative treatment of advanced prostatic cancer. Treatment of endometriosis (experience has been limited to women ≧18 years treated for 6 months). Treatment of uterine leiomyoma. Treatment of central precocious puberty. Palliative treatment of premenopausal breast cancer. 副作用: Hot flushes， anorexia， nausea. 禁忌: Women who are or may become pregnant while receiving the drug.,,室溫,1 vial monthly as a single SC inj. Central precocious puberty A dose of 30 mcg/kg， may be increased up to 90 mcg/kg.,,,,不可使用,,,No (Limited) Human Data – Potential Toxicity(Mother) 無(很少)資料 – 避免使用(母體),,,,,,,
ILEUV,Folinic Acid,BW-Folin inj 1000mg/100mL,ZADT,,適應症: Megaloblastic anemia due to folic acid deficiency， Intoxication & side-effects of folic acid antagonists， associated with high-dose methotrexate. 副作用:Occasionally Allergic reactions. Pyrexia may occur after inj 禁忌: Untreated vit B12 deficiency. Never given alone or in conjunction with inadequate amounts of hydroxocobalamin.,,2-8 C,For large dose of methotrexate: IV 75 mg within 12hrs， followed by IM 12mg/6hrs for 4 doses. For less severe overdosage: IM 6-12mg/6hrs for 4 doses. For megaloblastic anemia: 1-15mg/day.,,,,除非治療上需要,,,Compatible 哺乳時可使用,,,,,,,配伍禁忌: 1. Droperidol與本藥混合在一起或共用Y-site會出現沉澱，不可共用。 2. Foscarnet與本藥混合在一起會出現混濁黃色溶液，不可共用。
OBER,Fenoterol,Berotec (Fenoterol) 2.5mg,ERSP,,適應症:預防及治療支氣管痙攣(A028501100),,RT,Oral: Adult: 2.5-5 mg tid. Child: Up to 1 yr: 1.25 mg bid-tid. 1-6 yrs: 1.25 mg-2.5 mg tid. 6-14 yrs: 2.5 mg tid.,,,,可能安全,,,,,,,,,,
OBIOC,Tricalcium phosphate + Cholecalciferol,Bio-Cal chewable,NUTR,,適應症:Osteoporosis， Ca deficiency. 禁忌: Hypercalcemia.,,室溫,2-4 tab daily.,,,,除非治療上需要,,,Compatible 哺乳時可使用,,,,,,,
OBIOF,Lactobacillus Acidophilus,Biofermin,ALIM,,Digestant， antidiarrhea.,,,Adult: 8 tab tid， pc. Child 5-15 yrs: 4 tab tid. Under 5 yrs: reduced doses.,,,,,,,,,,,,,,
LSUL,Sulfamethoxazole + Trimethoprim,Sulfacotrim 40/8mg/mL， 60mL suspension,QANB,Acute exacerbations of chronic bronchitis， UTI & acute otitis media due to susceptible organisms; treatment & prophylaxis of P. carinii pneumonia; travelers?diarrhea due to susceptible strains of enterotoxigenic E. coli.,Hypersensitivity; megaloblastic anemia.,GI disturbances， allergic skin reactions (discontinue)， folic acid deficiency; mild & transient hematological abnormalities; rarely， megaloblastic anemia， purpura， agranulocytosis.,25℃以下，不需冰存並避免陽光直射,Adults: trimethoprim/sulfamethoxazole 160/800-240/1200 mg (20-30 mL) BID for 7 days or 80/400 mg (10 mL) BID for 14 days. Children 6 weeks to 5 months: 20/100 mg (2.5 mL) BID; 6 months to 5 years: 40/200 mg (5 mL) BID; 6 years to 12 years: 80/400 mg (10 mL) BID.,無需調整劑量,,需調整劑量,沒有資料,Uknown 沒有資料,,Unknown 沒有資料,,AC;AC15;PC;PO;WM;,,,,,
IHYC,Topotecan,Hycamtin inj 4mg,RACA,Metastatic carcinoma of the ovary after failure of initial or subsequent chemotherapy. Small cell lung cancer sensitive disease after failure of 1st-line chemotherapy.,Severe hypersensitivity to topotecan or any component of the formulation. Canadian labeling: Additional contraindications (not in the US labeling): Severe renal impairment (CrCl <20 mL/minute); pregnancy; breastfeeding; severe bone marrow depression,Neutropenia， leucopenia， thrombocytopenia， anemia， sepsis. GI disturbances， fatigue， fever， pain， asthenia， alopecia， rash， coughing， dyspnea， headache Dermatologic: Alopecia (IV， 49% ; oral， 10% to 20% )， Rash (IV， 16% ) Gastrointestinal: Abdominal pain (5% to 22% )， Constipation (5% to 29% )， Diarrhea (IV， 6% to 32% ; oral， 14% to 22% )， Nausea (IV， 8% to 64% ; oral， 27% to 33% )， Stomatitis (6% to 18% )， Vomiting (IV， 10% to 45% ; oral， 19% to 21% ) Hematologic: Anemia (IV， 89% to 94% ; oral， 94% to 98% )， Leukopenia (IV， 91% to 97% ; oral， 86% to 90% )， Neutropenia (IV， 89% to 97% ; oral， 83% to 91% )， Thrombocytopenia (IV， 69% to 74% ; oral， 81% ) Neurologic: Asthenia (IV， 25% ; oral， 3% to 7% )， Headache (IV， 18% )， Pain (23% ) Respiratory: Cough (15% )， Dyspnea (6% to 22% ) Other: Fatigue (IV， 29% ; oral， 11% to 19% )， Fever (28%， intravenous ; 5% to 7%， oral ),30℃以下,Baseline neutrophil count should be ?1，500/mm3 (1.5 x 10^9/L)， platelets should be ?100，000/mm3 (100 x 10^9/L) and hemoglobin ?9 g/dL prior to treatment; for re-treatment， neutrophil count should be >1，000/mm3 (1 x 10^9/L); platelets >100，000/mm3 and hemoglobin ?9 g/dL. [Ovarian Cancer and Small Cell Lung Cancer] 1.5 mg/m2 by intravenous infusion over 30 minutes daily for 5 consecutive days， starting on day 1 of a 21-day course. In the absence of tumor progression， a minimum of 4 courses is recommended because tumor response may be delayed. The median time to response in 3 ovarian clinical trials was 9-12 weeks， and median time to response in 4 small cell lung cancer trials was 5-7 weeks.  [Cervical Cancer] 0.75 mg/m2 by intravenous infusion over 30 minutes daily on days 1， 2， and 3; followed by cisplatin 50 mg/m2 by intravenous infusion on day 1 repeated every 21 days (a 21-day course).,無需調整劑量,,需調整劑量,盡量避免,No (limited) human data – animal data suggest risk,,Contraindicated 哺乳期使用禁忌,,IVD;,,,,,1. Topotecan 4 mg 粉末須以4 mL D/W泡製，泡製後之溶液濃度 1mg/mL。泡製後溶液需以適當體積N/S或D5W進一步稀釋，最終濃度 25 - 50 mcg/mL。 2. 監測CBC、肝腎功能，注意是否出現間質性肺病症狀 (咳嗽、發燒、呼吸困難或缺氧)。
ENOV4,NovoPen 4,NovoPen 4,ZOTH,,,,,,,,,,,,,,,,,,,
OINV,Paliperidone,Invega 3mg extended release,CNEU,Treatment of schizophrenia.,Hypersensitivity to risperidone. Congenital long QT syndrome， cardiac arrhythmias. Pre-existing severe GI narrowing. Lactation.,Cardiac disturbances， arrhythmia， GI disturbances， upper abdominal pain， extrapyramidal disorder， weight increase. Rarely edema， hypersensitivity reactions， dystonia， hypotension， venous thromboembolism. Cardiovascular: Tachycardia (16% geriatric ) Endocrine metabolic: Hyperprolactinemia (geriatric， 45% to 49% )， Weight gain (4% to 9% ) Gastrointestinal: Constipation (4% to 5% )， Indigestion (5% to 6% ) Neurologic: Akathisia (3% to 10% )， Extrapyramidal disease (2% to 20% )， Somnolence (6% to 12% ) Respiratory: Nasopharyngitis (2% to 5% ),25℃以下,Schizophrenia: Adults: 3-12mg QD. When the dose >6 mg/day， increased by 3 mg/day at intervals of more than 5 days. maximum: 12mg/day. 12-17 years old: initial dose: 3mg QD. The dose should be increased by 3 mg/day at intervals of more than 5 days. maximum dose:<51kg:6mg/day; >=51kg:12mg/day Schizoaffective Disorder: 6mg QD， increase by 3 mg/day at intervals of more than 4 days. maximum: 12mg/day.,無需調整劑量,,需調整劑量,除非治療上需要,No (limited) human data – animal data suggest low risk,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,AC;AC15;PC;PO;WM;,,,,,[磨粉/管灌註記]本藥為持續性藥效錠，勿將此藥錠咬碎，壓碎，剝半或磨粉。
OPROV,Modafinil,Provigil 200mg,CNEU,,,,,,,,,,,,,,,,,,,
OAVE4,Moxifloxacin,Avelox 400mg (政府提供),QANB,,適應症:Treatment of adults ? 18 years with upper & lower respiratory tract infections such as acute sinusitis， acute exacerbation of chronic bronchitis， community acquired pneumonia; skin & soft tissue infections; complicated intra-abdominal infection 副作用:GI disturbances (eg nausea， vomiting， dyspepsia， abdominal pain); headache， dizziness; taste perversion; musculoskeletal effects (eg back pain， arthralgia); CVS effects (eg tachycardia， hypertension); hematological changes; CNS disturbances eg (insomnia， convulsion); skin reactions (eg rash， pruritus); visual disturbances. 禁忌:Hypersensitivity. Children， growing adolescent. Pregnancy， lactation,,室溫,1 tab/bot (400 mg) once daily. Duration: Acute exacerbation of chronic bronchitis 5 days. Community acquired pneumonia 10 days (IV 7-14 days). Acute sinusitis 7 days. Skin & soft tissue infection 7-21 days. Complicated intra-abdominal infection 5-14 days,,,,除非治療上需要,,,,,,,,,,
OALU,Aluminium Hydroxide,Aluminum 324mg,ALIM,As an antacid. Phosphate-binding agent (but not TFDA indication).,Hypophosphatemia.,Constipation.,置於25℃以下避光防潮的容器中,Adult 1-2 tablets 3-6 times daily.,無需調整劑量,,無需調整劑量,沒有資料,Uknown 沒有資料,,Unknown 沒有資料,,AC;AC15;PC;PO;WM;,,,,,
OCEPO,Captopril,Ceporin 25mg,CAVS,Hypertension， chronic heart failure.,Pregnancy,Dysgeusia， skin rash， cough,30℃以下，謹防濕氣,HTN initial 25mg TIDAC slow titrate up Maximum 450mg/day (Take one hour before meals ) CHF: initial dose of 6.25 or 12.5 mg TID in patients with normal or low blood pressure; maintence dose: -50mg TIDAC,無需調整劑量,,無需調整劑量,盡量避免,Human data suggest risk in 2nd and 3 rd trimesters,,Compatible 哺乳時可使用,,AC;AC15;PO;,,,,,
ODIG,Digoxin,Digoxin 0.25mg,CAVS,Heart failure， atrial fibrillation &/or flutter & supraventricular tachycardia.,Intermittent complete heart block or 2nd-degree AV block， especially if there is a history of Stokes-Adams attacks; arrhythmias caused by cardiac glycoside intoxication; supraventricular arrhythmias associated with an accessory AV pathway， as in the Wolff-Parkinson-White syndrome， unless the electrophysiological characteristics of the accessory pathway & any possible deleterious effect of digoxin on these characteristics has been evaluated. If an accessory pathway is known or suspected to be present & there is no history of previous supraventricular arrhythmias. Hypertrophic obstructive cardiomyopathy unless with concomitant atrial fibrillation & heart failure. Hypersensitivity to other digitalis glycosides.,Arrhythmias; anorexia， nausea， vomiting; lower abdominal pain， abnormal fatigue or weakness; abnormal bradycardia; visual disturbances; diarrhea; depression & psychosis， drowsiness， headache， malaise. Gynecomastia in prolonged use.,25℃以下,Adults and children over 10 years: Oral: Rapid digitalization: A total of 0.75-1.5 mg. if necessary， eg.， elderly or high sensitivity patients to clinical response， drug levels， and toxicity， that should be administered in several portions at 6-hour intervals with roughly half the total dose given as the first dose. Slow digitalization: 0.25-0.75 mg QD for 7 days. Maintenance: 0.125-0.25 mg QD. 0.0625mg or lower dose daily might be used on patients who have side effects. Infants and children under 10 years: Oral: Digitalization: This dose should be administered in several portions， with roughly half the total given as the first dose. Additional fractions of this planned total dose may be given at 4 to 8-hour intervals. <1.5kg， <1 month infant: 0.025mg/kg/24hour 1.5-2.5kg， <1 month infants: 0.03mg/kg/24hour 1 month ~ 2 years old children: 0.045mg/kg/24hour 2 ~ 5 years old children: 0.035mg/kg/24hour 5 ~ 10 years old children: 0.025mg/kg/24hour Maintenance: <1 month infants: daily dose = loading dose*20% 1 month ~ 10 years children: daily dose = loading dose*25%,無需調整劑量,,需調整劑量,除非治療上需要,Compatible – maternal benefit >> embryo-fetal risk,,Compatible 哺乳時可使用,,AC;AC15;PC;PO;WM;,,,,,
IALI1,Pemetrexed,Alimta inj 100mg,RACA,In combination with cisplatin for the treatment of malignant pleural mesothelioma. Monotherapy for the 2nd-line treatment of locally advanced or metastatic nonsquamous non-small cell lung cancer. In combination with cisplatin therapy for the 1st-line treatment of locally advanced or metastatic nonsquamous non-small cell lung cancer.,Severe hypersensitivity to pemetrexed or any component of the formulation. Canadian labeling: Additional contraindications (not in the US labeling): Concomitant yellow fever vaccine.,Bone marrow depression with neutropenia， leukopenia， anemia & thrombocytopenia; fatigue; fever; GI toxicity with nausea & vomiting， constipation， anorexia， anorexia， stomatitis/pharyngitis， diarrhea; dyspnea; chest pain; infection; rash/desquamation.,25℃以下,500 mg/m2 administered as an intravenous infusion over 10 minutes on Day 1 of each 21-day cycle.,無需調整劑量,,需調整劑量,盡量避免,Contraindicated – 1st trimester,,Hold Breast Feeding 暫停哺乳,,IVD;,,,,,
IALI5,Pemetrexed,ALIMTA inj 500mg,RACA,In combination with cisplatin for the treatment of malignant pleural mesothelioma. Monotherapy for the 2nd-line treatment of locally advanced or metastatic nonsquamous non-small cell lung cancer. In combination with cisplatin therapy for the 1st-line treatment of locally advanced or metastatic nonsquamous non-small cell lung cancer.,Severe hypersensitivity to pemetrexed or any component of the formulation. Canadian labeling: Additional contraindications (not in the US labeling): Concomitant yellow fever vaccine.,Bone marrow depression with neutropenia， leukopenia， anemia & thrombocytopenia; fatigue; fever; GI toxicity with nausea & vomiting， constipation， anorexia， anorexia， stomatitis/pharyngitis， diarrhea; dyspnea; chest pain; infection; rash/desquamation. Dermatologic: Itching， Itching (1% to 7% )， Peeling of skin Gastrointestinal: Constipation (1% to 21% )， Diarrhea (5% to 17% )， Loss of appetite (19% to 27% )， Nausea (19% to 82% )， Pharyngitis， Stomatitis， Vomiting (9% to 57% ) Hematologic: Anemia， All Grades (15% to 33% )， Leukopenia， All Grades (6% to 53% )， Neutropenia， All Grades (6% to 56% )， Thrombocytopenia， All Grades (1% to 23% ) Other: Fatigue (25% to 48% ),25℃以下,500 mg/m2 administered as an intravenous infusion over 10 minutes on Day 1 of each 21-day cycle.,無需調整劑量,BREASTFEEDING RECOMMENDATION: Hold Breastfeeding Contraindicated (if Combined with Cisplatin),需調整劑量,盡量避免,Contraindicated – 1st trimester,PREGNANCY RECOMMENDATION: Contraindicated—1st Trimester Contraindicated (if Combined with Cisplatin),Hold Breast Feeding 暫停哺乳,BREASTFEEDING RECOMMENDATION: Hold Breastfeeding Contraindicated (if Combined with Cisplatin),,,,,,1. 本品為化療藥物，輸注時需注意注射部位，防止藥液外滲。 2. 本藥品不可與含有鈣離子的溶液混合。 3. 監測CBC、肝腎功能。 4. 建議監測homocysteine血中濃度。
ONTG6,Nitroglycerin,Nitrostat (NTG) 0.6mg,CAVS,Treatment & prophylaxis of angina pectoris.,Severe anemia; raised intracranial pressure， early MI， patients taking sildenafil.,Headache， vertigo， weakness， palpitation & postural hypotension. Marked sensitivity to the hypotensive effects of nitrates (manifested by nausea， vomiting， weakness， diaphoresis， pallor & collapse). Flushing， drug rash & exfoliative dermatitis. Cardiovascular: Hypotension Dermatologic: Erythroderma， Flushing， Rash Neurologic: Headache (63% )， Lightheadedness (6% ),20-25℃避免潮濕,Angina pectoris， acute: 0.6 mg sublingually or buccally at 1st sign of acute attack， may be repeated every 5 minutes for 3 doses. If no relief after taking 3 doses within 15 minutes， seek medical attention promptly. Angina pectoris， prophylaxis: 0.6 mg sublingually or buccally 5-10 minutes prior to the activity which may precipitate an attack.,無需調整劑量,,無需調整劑量,除非治療上需要,Human data suggest low risk,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,SL;,,,,,[磨粉/管灌註記]本藥為舌下錠，可直接置於舌下使用。
OWELX,Bupropion,Wellbutrin XL 150mg,CNEU,Treatment of depressive illnesses.,Seizure disorder， undergoing abrupt discontinuation of alcohol or sedatives， current or previous diagnosis of bulimia or anorexia nervosa. Concomitant with other MAOIs.,Very common: Insomnia， headache， dry mouth， GI disturbances eg nausea & vomiting. Common: Hypersensitivity reactions eg urticaria， anorexia， agitation， anxiety， tremor， dizziness， taste disorders， visual disturbances， tinnitus， hypertension， flushing， abdominal pain， constipation， rash， pruritus， sweating， fever， chest pain， asthenia. Cardiovascular: Hypertension (2.5% to 4.3% )， Tachyarrhythmia (10.8% ) Dermatologic: Pruritus (2% to 4% )， Rash (3% to 5% )， Urticaria (1% to 2% ) Gastrointestinal: Constipation (5% to 26% )， Nausea (9% to 24% ) Musculoskeletal: Arthralgia (1% to 5% )， Myalgia (2% to 6% ) Neurologic: Confusion (8.4% )， Dizziness (6% to 22.3% )， Headache (approximately 25% )， Insomnia (11% to 40% )， Tremor (2% to 21.1% ) Otic: Tinnitus (3% ) Psychiatric: Agitation (2% to 31.9% )， Anxiety (3.1% to 8% )， Hostile behavior (6% ) Reproductive: Disorder of menstruation (5% ) Respiratory: Pharyngitis (3% to 11% ) Other: Xerostomia (10% to 27.6% ),25℃以下，乾燥陰涼處,Adults， > 18 years old: Initial dose: 150mg QD. maximum: 300 mg QD. There must be a 24 hour interval between doses. Children and adolescents， <18 years old: Safety and effectiveness have not been established. Elderly: More sensitive to bupropion. It may be necessary to reduce the frequency and/or dose of the drug.,需調整劑量,,需調整劑量,除非治療上需要,Human data suggest low risk,Limited Human Data Suggest Low Risk,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,AC;AC15;PC;PO;WM;,,,,,[磨粉/管灌註記]本藥為持續性藥效錠，需整顆吞服勿咀嚼、剝半或磨粉。
OLAC4,Lacidipine,LaciPIL 4mg,CAVS,,適應症: Treatment of hypertension either alone or in combination with other antihypertensive agents. 副作用: Headache， flushing， oedema， dizziness， palpitation. Infrequently， asthenia， skin rash， gastric upset， nausea， polyuria， chest pain， gingival hyperplasia， aggravation of underlying angina. 禁忌: Hypersensitivity to any component of the Lacipil.,,室溫,Initially 2 mg once dialy; dosage may be increased after 3-4 weeks to 4 mg daily， then if necessary to 6 mg daily.,,,,沒有資料,,,Contraindicated 哺乳期使用禁忌,,,,,,,
OLAMS,Terbinafine,Lamisil 250mg (療黴舒),QANB,Tinea corporis， tinea cruris， tinea pedis & onychomycosis caused by dermatophyte & skin infections caused by Candida albicans.,Hypersensitivity to any of the ingredients of Lamisil.,GI symptoms， skin reactions. Gastrointestinal: Diarrhea (oral granules， 3% ; oral tablets， 5.6% ) Neurologic: Headache (oral granules， 7% ; oral tablet， 12.9% ),30℃以下,Adults: 250 mg orally once daily. Children > 2 years: < 20 kg: 62.5 mg once daily; 20-40 kg: 125 mg once daily; > 40 kg: 250 mg once daily. Treatment duration varies from 2 to 12 weeks.,需調整劑量,,需調整劑量,可能安全,No (limited) human data – animal data suggest low risk,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,,,,,,
