ÃÄ«~¥N½X,¦³®Ä¤é´Á(°_),¦³®Ä¤é´Á(¨´),ÃÄ«~ª¬ºA,°Ó«~¤¤¤å¦WºÙ,°Ó«~­^¤å¦WºÙ,°Ó«~¾Ç¦W,³~®|,ÀW²v,ÃÄ²z¤ÀÃþ1,ÃÄ²z¤ÀÃþ2,¾¯«¬,¦¸³æ¦ì¾¯¶q,³q¥Î°Ó«~¦W,²Õ®Mµù°O,DCµù°O,DC´À¥NÃÄ,Á{±Äµù°O,¥i°hÃÄ,ÃÄ¥]¾÷,°·«O­­¨î,ÃÄÅÒ¦C¦Lµù°O,ÃÄ«~¶i¦ìµù°O,¾AÀ³¯g(¤¤)1,¾AÀ³¯g(¤¤)2,¾AÀ³¯g(­^)1,¾AÀ³¯g(­^)2,¥~Æ[(¤¤),¥~Æ[(­^),°Æ§@¥Î(¤¤),°Æ§@¥Î(­^),ºÞ¨î§Ü¥Í¯ÀÃþ§O,ªù¦í¶E¨Ï¥Îµù°O,¤¤¤å°Ó«~¦W,¼ÐÅÒ°Ó«~¦W,¬Ì­]ºØÃþ,¥»°|­­¨î,¶^­Ë°ª­·ÀIÃÄª«,»ó­GºÞ¥i¥Î,­¹ª«¥æ¤¬§@¥Î,Äµ»y(¤¤)1,Äµ»y(¤¤)2,Äµ»y(­^)1,Äµ»y(­^)2,³Æ¥ÎÄæ,³Æµù(­^),ÃÄ§½¤º³¡·¾³qMEMO,¯S®íÃÄ¨ÆªA°È¶O,³B¤èÅÒ¦C¦L¤ÀÃþ,Äµ»y,°ªÄµ°T,¾¯«¬´£¥Ü,³Ì¤jìH­È,³Ì¤pìH­È,»ÝªþªÅ°w,¥]¸Ë¶q,ÂIºw,¶E¶¡´£¥Ü,©T©w³~®|­­¨î,©T©wÀW²v­­¨î,ÃÄ«~¦¨¤Àµù°O,µoÃÄ½Ã±Ð,³s³B¦^§åµù°O,³s³B¶}¥ß­­¨î,¿i¯»µù°O,UD·|¹L±b,ÃÄ§½Àx¦ì,ªù¶E¨C¦¸¶q,¦í°|¨C¦¸¶q,ªù¶E¨C¦¸¶q³Ì¤j¶q,¦í°|¨C¦¸¶q³Ì¤j¶q,ªù¶E³Ì¤jµ¹ÃÄ¤Ñ¼Æ,¦í°|³Ì¤jµ¹ÃÄ¤Ñ¼Æ,ªù¶E¹w³]ªA¥Î¤Ñ¼Æ,¦í°|¹w³]ªA¥Î¤Ñ¼Æ,ªù¶E¨C¤é³Ì¤j¶q,¦í°|¨C¤é³Ì¤j¶q,ªù¦í¤p¨à¨C¤é·¥¶q/kg,ªù¦í¤p¨à¨C¦¸·¥¶q/kg,¨C¦¸¦í°|³Ì¤jÁ`¶q,¹Ï¤ù,¤p¨à°®¯»µ}ÄÀ²G,¤p¨à¾¯¶q´«ºâ1,¤p¨à¾¯¶q´«ºâ2,¤p¨à¾¯¶q´«ºâ3,¤p¨à¤é¾¯¶q«ØÄ³,ATC_CODE_1,ATC_CODE_2,ATC_CODE_3,ATC_CODE_4,ATC_CODE_5,DDD³æ¦ì¾¯¶q_­È,DDD³æ¦ì¾¯¶q_³æ¦ì,DDD_­È,DDD_³æ¦ì,­p»ù³æ¦ì,¨Æ«e¼f¬d,ªù¶Eµ¹¥I,¦í°|µ¹¥I,°·«O®Ö»ù¦¨¤À¦WºÙ,°·«OATC_CODE,°·«O¥N½X,¯S¶E°ê»ÚÂåÀø±M¥Î,HL7¾¯«¬¥N½X1,HL7¾¯«¬¥N½X2,¦M®`©ÊÃÄª«,ª`®g¾¯¦¸¤ÀÃþ,ª`®g¾¯¥]¸Ë¾¯¶q_­È,ª`®g¾¯¥]¸Ë¾¯¶q_³æ¦ì,¥]¸ËÅé¿n_­È,¥]¸ËÅé¿n_³æ¦ì,IVDµ}ÄÀ,¿éª`¼Ò¦¡,²§°Ê¤H­û,²§°Ê®É¶¡,°·«O»ù®æ,¦Û¶O»ù®æ
OACT6,20130320,99999999,°±¥Î,Actein 600mg µoªw¿õ,Actein 600mg µoªw¿õ,Acetylcysteine,PO,QD,ERSP,RE-05-01,¤fªA,TAB,Fluimucil,«D²Õ®M,°±¥Î,OACC6,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g: ¤Æ·ð¡A´î¤Ö©I§l¹DÂH½¤¤ÀªcªºÂH¸Y©Ê¡C,Acetaminophen ¤¤¬r¤§¸Ñ¬r¾¯¤Î¨ä¥L¥Î³~¡C,Indication: Mucolytics¡A acetaminophen poisoning,,¥~ Æ[:¥Õ¦â ¶ê«ó§Î ¿õ¾¯¡A¤@­±¦L¦³SYN,Appearance: White round tablet,­G¸z»ÙÃª¡Aäú¤ß©Î¹Ã¦R¡A¥Ö¯l¡A¹L±Ó¤ÏÀ³,Nausea or vomiting¡A skin rash¡A allergy,,¬Ò¥i¥Î,·R§J·ðµoªw¿õ,Actein Effervescent,,,§_,¬O,,ªA¥Î«e±N¦¹µoªw¿õ¸m¬Á¼þ®e¾¹¤¤¡A¥[¤Ö¶q¤ô(50-100 mL)·»¸Ñ¡B²V¤Ã¡C,,Melt tablet in 50-100 mL of cold water and drink,,¥»ÃÄ«~§t²¢¨ý¾¯ªü´µ¤Ú²¢¡A¨u¨£¯e¯f­fà¬§¿±wªÌ¤£©y¨Ï¥Î¡C,This medication contain aspartame¡A phenylketonurics is contraindicated,105-2 ÃÄ©e·|§R°£,¤@¯ë,¤@¯ë,¥»ÃÄ«~§t²¢¨ý¾¯ªü´µ¤Ú²¢¡A­fà¬§¿±wªÌ¤£©y¨Ï¥Î¡C,,,0,0,§_,1.0,,§_,§_,§_,³æ¤è,§_,°±¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,1,1,99.00,99.00,0,0,,¦³¹Ï¤ù,,0,,0,,R05CB01,,,,,,,,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,ACETYLCYSTEINE,R05CB01,AB45993100,§_,SolidDrugForm,DISINTAB,,,,,,,,,PH047,202303141719,5.40,8.00
OACTI,20030320,99999999,°±¥Î,Activelle,Activelle,Estradiol Hemihydrate + Norethisterone,PO,,HM,HR-03-04,¤fªA,TAB,,«D²Õ®M,°±¥Î¡A¥i¬dÃþ¦üÃÄ,,¤w°±¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤£¦LÃÄÅÒ,,¾AÀ³¯g:°±¸g¯g­Ô¸s²üº¸»X¤§¸É¥R,,Indication:Hormone replacement therapy for estrogen deficien,,,,,,,¥u¥Î©óªù¶E,,Activelle,,,§_,¬O,,,,,,,,,,¤@¯ë,,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¥i¿i,§_,,1.00,1.00,99.00,99.00,99,99,1,1,0,0,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,ESTRADIOL 1MG + NORETHINDRONE 500MCG,G03FA01,B022786100,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141719,3.88,5.00
OACTN6,20221014,99999999,°±¥Î,Actein effervescent 600mg,Actein effervescent 600mg,Acetylcysteine,PO,BID,ERSP,RE-05-01,¤fªA,TAB,,«D²Õ®M,°±¥Î,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,,,,,,,,,,¬Ò¥i¥Î,,,,,,¬O,,,,,,,,,¤@¯ë,¤@¯ë,,,,0,0,§_,1.0,,§_,¬O,§_,³æ¤è,,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,0,0,0,0,0,0,0,0,0,0,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,0,,0,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,ACETYLCYSTEINE,R05CB01,AB45993100,,,,,,0,,0,,,,PH047,202303200859,5.40,8.00
OACZ,20210915,99999999,¥i¥Î,Acarizax 12 SQ-HDM (30 tablets/box),Acarizax 12 SQ-HDM (30 tablets/box),Der pte extract + Der far extract,SL,QD,HIMM,IM-01-00,¤fªA,TAB,Acarizax,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,°·«O¤£µ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:12-65·³¦]¹Ð (¦äº¡) ¤Þ°_¤§¹L±Ó©Ê»óª¢,,Indication:House dust mite-induced allergic rhinitis,,¥~ Æ[:¥Õ¦â¶ê¿õ¡A¤W¦³¤­¨¤§Î¹Ï§Î¼Ð¥Ü.,Appearance:White round tablet¡A with a pentagon marked.,§½³¡¹L±Ó¤ÏÀ³¡BµoÄo¡B¥Ö¯l¡B³ïÄV²§ª«·P¡B¯h²Ö,Local allergic reactions¡A itching¡A rash¡A throat irritation¡A fatigue.,,¬Ò¥i¥Î,ªü§J¥ß¦Þ¤U¿õ12 SQ-HDM,Acarizax 12 SQ-HDM 30²É/²°,,,,¬O,,²Ä¤@¦¸¤fªA¾¯¶qÀ³¦bÂåÀø°|©Ò¤ºªA¥Î¨Ã¯d°|Æ[¹î¦Ü¤Ö¥b¤p®É¡C,­Y¤¤Â_ªvÀø¤Ñ¼Æ¶W¹L7¤Ñ¡A¦AªAÃÄ«eÀ³¥ý´NÂåµû¦ô¡C,Stay in medical institution for at least 30 minutes following the initial dose.,If stop treatment for more than 7 days¡A should consult a doctor before re-on.,¥´¶}¥]¸Ë¥ß§Y¥Î°®Àê¤â«ü±NÃÄ¿õ©ñ¤J¦Þ¤U¡AÁ×§K1¤ÀÄÁ¤º§]ªA¡A5¤ÀÄÁ¤º¤£¥i¶¼­¹,Read the instructions carefully before use.,2021.Q3ÃÄ©e·s¶i,¤@¯ë,¤@¯ë,²Ä¤@¦¸¤fªA¾¯¶qÀ³¦bÂåÀø°|©Ò¤ºªA¥Î¨Ã¯d°|Æ[¹î¦Ü¤Ö30¤ÀÄÁ¡C­Y¤¤Â_ªvÀø¤Ñ¼Æ¶W¹L7¤Ñ¡A¦AªAÃÄ«eÀ³¥ý´NÂåµû¦ô¡C,,,0,0,§_,30.0,,§_,¬O,§_,½Æ¤è,§_,°±¥Î,°±¥Î,¤£¥i¿i,¬O,,1.00,1.00,1.00,1.00,999,999,30,30,1.00,1.00,0,0,,¦³¹Ï¤ù,,0,,0,,V01AA03,,,,,0,,0,,BOX,,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,,SolidDrugForm,SLTAB,,,0,,0,,,,PH047,202308100940,0,4800.00
OADA1,20040107,99999999,°±¥Î,Adalat 10mg,Adalat 10mg,Nifedipine,PO,PRN,CAVS,CV-05-00,¤fªA,CAP,Adalat,«D²Õ®M,°±¥Î,OALA,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,¦¸­p¶q¶i¦ì,¾AÀ³¯g:¯U¤ß¯g¡A °ª¦åÀ£,,Indication:Angina pectoris¡A hypertension.,,¥~ Æ[:¾ï¦â³n½¦Ån,Appearance:Orange soft capsule,¤ß¸õ¤£³W«h¡A ¥Ö½§¬õ¯l¡A ¤UªÏ¤ô¸~¡A ÀY·w¡A ÀYµh¡A äú¤ß,Irregular or fast¡A pounding heartbeat¡A skin rash¡A swelling of lower legs¡A dizzin,,¬Ò¥i¥Î,«a¹F®®,Adalat 10mg,,,¬O,¬O,½Ã±Ð³æ¤T,ªAÃÄ´Á¶¡Á×§K¦Y¸²µå¬c©Î¶¼¥Î¸²µå¬c¥Ä¡A¥H§K¼vÅTÃÄª«¥NÁÂ,,Avoid grapefruits or related products to prevent risk of interaction.,,­¹ª«¥æ¤¬§@¥Î: ªAÃÄ´Á¶¡Á×§K­¹¥Î¸²µå¬c¥Ä,Food interaction: Avoid grapefruit juice,,¤@¯ë,¤@¯ë,Äµ »y:ªAÃÄ´Á¶¡Á×§K¦Y¸²µå¬c©Î¶¼¥Î¸²µå¬c¥Ä¡A¥H§K¼vÅTÃÄª«¥NÁÂ,SA/­¹ «÷­µ/­¹ª«,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,°±¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,6.00,6.00,999,999,1,1,18.00,18.00,0,0,,¦³¹Ï¤ù,,0,,0,,C08CA05,,,,,,,,,CAP,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,NIFEDIPINE,C08CA05,B019855100,§_,SolidDrugForm,ORCAP,,,,,,,,,PH047,202303141719,2.14,3.00
OADA3,19960101,99999999,°±¥Î,Adalat OROS 30mg,Adalat OROS 30mg,Nifedipine,PO,QD,CAVS,CV-05-00,¤fªA,TAB,,«D²Õ®M,¼t°Ó¯Ê³f,ONIF,¤@¯ë¥i¥Î,¬O,¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¯U¤ß¯g¡A °ª¦åÀ£,,Indication:Angina pectoris¡A hypertension.,,¥~ Æ[:²H¬õµµ¦â¶ê«ó§Î¿õ¾¯,Appearance:Light red purple round tablet,¤ß¸õ¤£³W«h¡A ¥Ö½§¬õ¯l¡A ¤UªÏ¤ô¸~¡A ÀY·w¡A ÀYµh¡A äú¤ß,Irregular or fast¡A pounding heartbeat¡A skin rash¡A swelling of lower legs¡A dizzin,,,«a¹F®®¼Ú¼Ö,Adalat OROS,,,¬O,§_,½Ã±Ð³æ¤T,ªAÃÄ´Á¶¡Á×§K¦Y¸²µå¬c©Î¶¼¥Î¸²µå¬c¥Ä¡A¥H§K¼vÅTÃÄª«¥NÁÂ,,Avoid grapefruits or related products to prevent risk of interaction.,,­¹ª«¥æ¤¬§@¥Î: ªAÃÄ´Á¶¡Á×§K­¹¥Î¸²µå¬c¥Ä,Food interaction:Avoid grapefruit juice,,¤@¯ë,¤@¯ë,Äµ »y:ªAÃÄ´Á¶¡Á×§K¦Y¸²µå¬c©Î¶¼¥Î¸²µå¬c¥Ä¡A¥H§K¼vÅTÃÄª«¥NÁÂ,­¹ ­¹ª«¥æ¤¬,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,°±¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,4.00,4.00,999,999,1,1,4.00,4.00,0,0,,¦³¹Ï¤ù,,0,,0,,C08CA05,,,,,,,,,TAB,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,NIFEDIPINE,C08CA05,BA22951100,§_,SolidDrugForm,ERTAB12,,,,,,,,,PH047,202303141719,5.10,7.00
OAFI,20140902,99999999,¥i¥Î,Afinitor 5mg,Afinitor 5mg,Everolimus,PO,QD,RACA,ON-08-07,¤fªA,TAB,Afinitor,«D²Õ®M,Á{±ÄÃÄ¡A½Ð³qª¾ÃÄ§½¥~ÁÊ,,¥»°|Á{±Ä²M³æ,¬O,¤£¥i¥ÎÃÄ¥]¾÷,±ø¥ó¤Uµ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¬°§Ü¸~½FÃÄ,,Indication:Cancer therapy.,,¥~ Æ[:¥Õ¦â¾ò¶ê§Î¿õ¾¯¡A¦L¦³NVR¡A 5,Appearance:white oblong tablet¡A markings : NVR¡A 5,¤fµÄª¢¡A·P¬V¡A¥Ö¯l¡A¯h³Ò¡A¸¡Âm¡A­¹¼¤´î°h¡A¦å¿}¤É°ª,Stomatitis¡A infections¡A rash¡A fatigue¡A diarrhea¡A decreased appetite¡A hyperglycem,,¬Ò¥i¥Î,Àù¥ñ§´,Afinitor 5mg,,,,¬O,,ªAÃÄ´Á¶¡Á×§K­¹¥Î¸²µå¬c¥Ä,¤£¥i©CÄZ©Î«r¸H¿õ¾¯¡C,Food interaction:Avoid grapefruit juice,Swallow whole¡A do not chew/crush.,­Y¦³·sªº©I§l¹D¯gª¬¥X²{©Î´c¤Æ(«y¹Â¡B¯Ýµh¡B©I§l«æ«P©Î«y¦å)¡A½Ð¥ß§Y§iª¾Âå¥Í,If you have any worsening respiratory symptoms¡A please notify your doctor,106-2ÃÄ©e·|³q¹LÁ{±Ä¡A¤£³]°ò¥»®w¦s¡A¨Ï¥Î«e¶ñ¼gÁ{±Ä³æ³qª¾³ÆÃÄ¡C,¤@¯ë,¤@¯ë,­Y¦³·sªº©I§l¹D¯gª¬¥X²{©Î´c¤Æ(«y¹Â¡B¯Ýµh¡B©I§l«æ«P©Î«y¦å)¡A½Ð¥ß§Y§iª¾Âå¥Í,,,0,0,§_,1.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,1,1,2.00,2.00,0,0,,¦³¹Ï¤ù,,0,,0,,L01EG02,L04AA18,,,,0,,0,,TAB,¬O,°·«Oµ¹¥I,°·«Oµ¹¥I,EVEROLIMUS,L01EG02,BC25165100,§_,SolidDrugForm,ORTAB,¦M®`¤@¯Å(¡I¡I),,,,,,,,PH047,202311090850,554.00,665.00
OAGT,20220622,99999999,¥i¥Î,Alglutol 333mg delayed-release,Alglutol 333mg delayed-release,Acamprosate,PO,TID,ZADT,AD-02-00,¤fªA,TAB,Acamprosate Calcium,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,°·«O¤£µ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:°sºë¦¨Å}¤§»²§UªvÀø,,Indication:Alcoholism¡A maintenance of abstinence,,¥~ Æ[:¥Õ¦â¶ê¿õ¡A¤W¦³435¼Ð°O,Appearance:White round tablet¡A marked with 435.,¸¡Âm¡Aäú¤ß¡A¹Ã¦R¡A¼~Æ{¡AµJ¼{,Diarrhea¡A nausea¡A vomiting¡A depression¡A anxiety,,¬Ò¥i¥Î,§Ù°s§´333²@§J¸z·»¿õ,Alglutol 333 mg,,,,,,¥iÀHÀ\©Î¤£ÀHÀ\ªA¥Î¡A¦ý½Ð¨C¤é«ö®É³W«ßªA¥ÎÃÄª«¡C,,Could be taken with or without a meal¡A but on a regular schedule every day.,,½Ð¤Å±N¦¹ÃÄ¿õ«r¸H¡AÀ£¸H¡A­é¥b©Î¿i¯»,Do not bite¡A crush¡A cut¡A or grind this tablet,2022.Q2ÃÄ©e·s¼W,¤@¯ë,¤@¯ë,¥iÀHÀ\©Î¤£ÀHÀ\ªA¥Î¡A¦ý½Ð¨C¤é«ö®É³W«ßªA¥ÎÃÄª«¡C,,,0,0,§_,1.0,,§_,¬O,§_,³æ¤è,§_,°±¥Î,°±¥Î,¤£¥i¿i,¬O,,1.00,1.00,2.00,2.00,99,99,28,28,6.00,6.00,0,0,,¦³¹Ï¤ù,,0,,0,,N07BB03,,,,,0,,0,,TAB,§_,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,SolidDrugForm,DRTAB,,,0,,0,,,,PH047,202402121329,0,30.00
OAKI,19960101,99999999,°±¥Î,Akineton 2mg,Akineton 2mg,Biperiden,PO,,CNEU,CN-03-03,¤fªA,TAB,Akineton,«D²Õ®M,°±¥Î¡A¥i¬dÃþ¦üÃÄ,OBIP2,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g¡G©¬ª÷´Ë¤ó¯g,,Indication:Symptoms of Parkinson's disease,,¥~ Æ[:¥Õ¦â¶ê«ó§Î¿õ¾¯,Appearance:White round tablet,µø¤O¼Ò½k¡A «K¯µ¡A ¬y¦½´î¤Ö¡A ±Æ§¿¯kµh¡A ©ü©ü±ýºÎ¡A ¬È¥ú¡A äú¤ß,Blurred vision; constipation; sweat less; difficult urination; sleepy; sensitive,,,¦w©ö¯à¿õ,Akineton 2mg,,,§_,¬O,,ªAÃÄ«á¡A ½Ð¤Å¶}¨®©Î¾Þ§@¦MÀI¾÷±ñ; ¤Å¶¼°s,,Be careful driving or operating machinery. Avoid alcohol.,,³Æµù: ­Y¤f°®¯gª¬«ùÄò¶W¹L¨â¶g¡A ½Ð§iª¾Âå®v,May cause dry mouth¡A check with your doctor if symptoms persist more than 2 week,,¤@¯ë,¤@¯ë,Äµ »y:ªAÃÄ«á¡A½Ð¤Å¶}¨®©Î¾Þ§@¦MÀI¾÷±ñ¡F¤Å¶¼°s,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,°±¥Î,¥i¥Î,¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,1,1,0,0,0,0,,¦³¹Ï¤ù,,0,,0,,N04AA02,,,,,,,,,TAB,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,BIPERIDEN,N04AA02,B023783100,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141719,2.50,4.00
OAKI2,20150315,99999999,¥i¥Î,Akinfree 2mg,Akinfree 2mg,Biperiden,PO,TID,CNEU,CN-03-03,¤fªA,TAB,Akineton,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:©¬ª÷´Ë¤ó¯g,,Indication:Parkinsonism,,¥~ Æ[:¥Õ¦â¶ê«ó§Î¿õ¾¯¡A¤@­±¦L"B35",Appearance:White round tablet,µø¤O¼Ò½k¡A «K¯µ¡A ¬y¦½´î¤Ö¡A ±Æ§¿¯kµh¡A ©ü©ü±ýºÎ¡A ¬È¥ú¡A äú¤ß,blurred vision; constipation; sweat less; difficult urination; sleepy,,¬Ò¥i¥Î,¦w¥Å´_¿õ2²@§J,Akinfree 2mg,,,,¬O,,­Y¤f°®¯gª¬«ùÄò¶W¹L¨â¶g¡A½Ð§iª¾Âå®v¡C,,May cause dry mouth¡A inform doctor if symptoms persist more than 2 weeks.,,³Æµù:¤Å¶¼°s¡CªAÃÄ«á¡A ½Ð¤p¤ß¶}¨®©Î¾Þ§@¦MÀI¾÷±ñ¡C,Avoid alcohol. Be careful driving or operating machines while on this medication,2015¦~²Ä¤@¦¸ÃÄ©e·|³q¹L·s¶i¨ú¥N,¤@¯ë,¤@¯ë,Äµ»y:­Y¤f°®¯gª¬«ùÄò¶W¹L¨â¶g¡A½Ð§iª¾Âå®v¡C,,,0,0,§_,1.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,1,1,8.00,8.00,0,0,,¦³¹Ï¤ù,,0,,0,,N04AA02,,,,,0,,0,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,BIPERIDEN,N04AA02,AC470441G0,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141719,2.00,3.00
OAKY,20200915,99999999,¥i¥Î,Akynzeo 300/0.5mg,Akynzeo 300/0.5mg,Netupitant + Palonosetron,PO,,CNEU,CN-03-08,¤fªA,CAP,Akynzeo,«D²Õ®M,,,,¬O,¤£¥i¥ÎÃÄ¥]¾÷,±ø¥ó¤Uµ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¹w¨¾¤Æ¾ÇªvÀøªºäú¤ß©Î¹Ã¦R,,Indication:Prophylaxis of Chemotherapy-induced nausea,and vomiting (Acute and delayed),¥~ Æ[:¬õ/¥Õ¦â½¦Ån¡A¤W¦³HE1¼Ð¥Ü,Appearance:Red/white capsule¡A HE1 marked.,®ø¤Æ¤£¨}¡A¯h¾Î¡A«K¯µ¡AÀYµh,Indigestion¡A fatigue¡A constipation¡A headache,,¥u¥Î©óªù¶E¤Î¦í°|STAT,¹Ã¥iµÎ½¦Ån,Akynzeo 300/0.5mg,,,,§_,,¦pªG¥¿¦b¨Ï¥Î¦å²M¯À¬ÛÃöÃÄª«¡A½Ð§iª¾±zªºÂå®v,,If you are using serotonin-related drugs¡A please inform your physician,,­Yµo¥Í¹L±Ó¯gª¬½Ð§iª¾Âå®v¡C,Tell your doctor if you have any signs of an allergic reaction.,2020Q3ÃÄ©e·s¶i,¤@¯ë,¤@¯ë,¦pªG¥¿¦b¨Ï¥Î¦å²M¯À¬ÛÃöÃÄª«¡A½Ð§iª¾±zªºÂå®v,,,0,0,§_,1.0,,§_,¬O,§_,½Æ¤è,§_,°±¥Î,°±¥Î,¤£¥i¿i,§_,,1.00,1.00,1.00,1.00,1,1,1,1,1.00,1.00,0,0,,¦³¹Ï¤ù,,0,,0,,A04AA55,A04AA05,,,,0,,0,,CAP,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,PALONOSETRON 0.5 MG + NETUPITANT 300 MG,A04AA55,BC27233100,§_,SolidDrugForm,ORCAP,,,0,,0,,,,PH034,202203030926,1828.00,2194.00
OALA,20140617,99999999,¥i¥Î,Alat 10mg,Alat 10mg,Nifedipine,PO,ASORDER,CAVS,CV-05-00,¤fªA,CAP,Adalat,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,¦¸­p¶q¶i¦ì,¾AÀ³¯g:¯U¤ß¯g¡A °ª¦åÀ£,,Indication:Angina pectoris¡A hypertension,,¥~ Æ[:¾ï¦â½¦Ån,Appearance:Orange capsule,¤ß¸õ¤£³W«h¡A ¥Ö½§¬õ¯l¡A ¤UªÏ¤ô¸~¡A ÀY·w¡A ÀYµh,Irregular or fast¡A pounding heartbeat¡A skin rash¡A swelling of lower legs,,¬Ò¥i¥Î,¤ßºÖ,Alat 10mg,,,¬O,¬O,½Ã±Ð³æ¤T,ªAÃÄ´Á¶¡Á×§K¦Y¸²µå¬c©Î¶¼¥Î¸²µå¬c¥Ä¡A¥H§K¼vÅTÃÄª«¥NÁÂ,,Avoid grapefruits or related products to prevent risk of interaction.,,,,,¤@¯ë,¤@¯ë,Äµ »y:ªAÃÄ´Á¶¡Á×§K¦Y¸²µå¬c©Î¶¼¥Î¸²µå¬c¥Ä¡A¥H§K¼vÅTÃÄª«¥NÁÂ,­¹ ­¹ª«¥æ¤¬,,0,0,§_,1.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,6.00,6.00,999,999,1,1,18.00,18.00,0,0,,¦³¹Ï¤ù,,0,,0,,C08CA05,,,,,,,,,CAP,,°·«Oµ¹¥I,°·«Oµ¹¥I,NIFEDIPINE,C08CA05,AC328011G0,§_,SolidDrugForm,ORCAP,,,,,,,,,PH034,202202181733,2.00,3.00
